Date,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
2013-09-24,22.1130313873291,15.13417148590088,15.706500053405762,101.33660125732422,37.18186950683594,17.461103439331055,36.71367263793945,26.86390686035156,0.3681995272636413,30.09298515319824
2013-09-27,21.85246467590332,14.937678337097168,15.80049991607666,101.11518096923828,37.12869644165039,16.930639266967773,38.11450958251953,27.542749404907227,0.3653852641582489,29.992021560668945
2013-10-02,22.141706466674805,15.148402214050291,16.02549934387207,100.34876251220705,36.99200820922851,16.864330291748047,38.28506088256836,28.080856323242188,0.3644471764564514,29.75406074523925
2013-10-07,21.586912155151367,15.092392921447754,15.501500129699709,99.36947631835938,36.58949661254883,16.82012367248535,38.09397506713867,27.56758117675781,0.3656197786331177,29.29251480102539
2013-10-10,21.649248123168945,15.15087890625,15.258500099182127,101.25144958496094,37.41730117797851,17.019046783447266,38.601104736328125,27.948400497436523,0.3609293103218078,29.883848190307617
2013-10-15,21.99259757995605,15.4306001663208,15.31999969482422,100.63831329345705,37.10591506958008,17.232707977294922,38.44675827026367,28.55272674560547,0.3613983690738678,29.955963134765625
2013-10-18,25.219139099121097,15.746536254882812,16.446500778198242,104.33412170410156,38.84502410888672,17.593717575073242,39.90936279296875,28.941822052001957,0.3707791864871979,30.77806282043457
2013-10-23,25.71783447265625,16.24378204345703,16.33799934387207,109.86930847167967,38.11597442626953,17.490570068359375,38.77014923095703,27.948400497436523,0.363508939743042,30.83574676513672
2013-10-28,25.308656692504883,16.39601707458496,17.908000946044922,110.6016616821289,38.08559799194336,17.947359085083008,38.71870422363281,29.446821212768555,0.3567079901695251,30.886228561401367
2013-10-31,25.69713592529297,16.173847198486328,18.201499938964844,111.12963104248048,37.05259704589844,18.02840805053711,37.880836486816406,29.31436347961425,0.3562388122081756,30.7852783203125
2013-11-05,25.471227645874023,16.258939743041992,17.944499969482422,113.74398803710938,36.74877166748047,17.869958877563477,38.18217086791992,30.33262252807617,0.3470925390720367,30.742006301879883
2013-11-08,25.33433723449707,16.201679229736328,17.515499114990234,114.09009552001952,37.93370819091797,17.914583206176758,39.65946960449219,31.27637481689453,0.3649162054061889,31.017967224121097
2013-11-13,25.7442626953125,16.2038516998291,17.81100082397461,113.81658172607422,37.97169876098633,18.29384422302246,39.79176712036133,31.590965270996097,0.3787528872489929,31.05428123474121
2013-11-18,25.721324920654297,16.14160919189453,18.30900001525879,118.2523422241211,38.5793571472168,18.29384422302246,40.96774291992188,30.79622459411621,0.3700755834579468,31.526348114013672
2013-11-21,25.78415870666504,16.219728469848633,18.44599914550781,113.6114501953125,39.29338073730469,18.76235008239746,42.05550765991211,31.19660758972168,0.3614692091941833,32.01292419433594
2013-11-26,26.39106750488281,16.601301193237305,19.068500518798828,115.192626953125,40.26563262939453,17.587379455566406,42.01874923706055,31.15489387512207,0.3687789142131805,32.17996597290039
2013-12-02,26.293073654174805,17.15623664855957,19.614999771118164,114.66271209716795,39.96939849853515,17.624561309814453,41.87910079956055,32.072444915771484,0.3713724613189697,32.08556365966797
2013-12-05,26.36438751220703,17.67506217956543,19.22450065612793,113.4405288696289,38.78445053100586,18.04100799560547,41.02652740478515,31.69707679748535,0.3701936602592468,31.41015243530273
2013-12-10,27.04560279846191,17.601924896240234,19.388999938964844,114.26956176757812,39.30098342895508,18.45745086669922,41.67330932617188,31.788848876953125,0.3668925166130066,32.034725189208984
2013-12-13,26.450410842895508,17.255828857421875,19.21199989318848,114.3806610107422,38.716094970703125,18.06331443786621,41.28376770019531,30.604372024536133,0.3541596233844757,31.75874710083008
2013-12-18,27.0478458404541,17.141918182373047,19.79800033569336,115.7994384765625,39.46807861328125,18.70285415649414,42.07020568847656,30.51261711120605,0.3612333536148071,32.63023376464844
2013-12-23,27.804611206054688,17.743221282958984,20.145999908447266,116.5771713256836,39.80989456176758,18.82927894592285,42.80518341064453,30.54598045349121,0.3720798194408417,32.833595275878906
2013-12-27,27.88689422607422,17.43198585510254,19.90399932861328,117.0045166015625,39.69595718383789,19.03750228881836,42.731693267822266,31.104856491088867,0.3716084063053131,33.04420852661133
2014-01-02,27.75524139404297,17.215370178222656,19.898500442504883,116.80792999267578,39.703556060791016,19.17879676818848,43.06296157836914,30.996408462524418,0.3739662170410156,32.69560241699219
2014-01-07,28.39705848693848,16.807958602905273,19.901500701904297,120.0898895263672,41.15435791015625,19.03006172180176,43.14432907104492,30.37081718444824,0.3805684745311737,32.971580505371094
2014-01-10,28.180625915527344,16.586986541748047,19.882999420166016,121.27786254882812,41.564544677734375,18.985445022583008,43.27009582519531,30.062185287475582,0.3709009289741516,33.363746643066406
2014-01-15,28.64042091369629,17.34702491760254,19.793500900268555,120.18387603759766,41.769630432128906,19.83320045471191,44.0098762512207,30.66275787353516,0.3775030672550201,33.69783020019531
2014-01-21,29.016435623168945,17.089004516601562,20.352500915527344,121.08132934570312,39.384521484375,19.03006172180176,43.03335952758789,30.17062187194824,0.3784463405609131,33.77045822143555
2014-01-24,28.02229118347168,16.995637893676758,19.3799991607666,116.79084777832033,37.47035598754883,18.45001983642578,40.754825592041016,30.704477310180664,0.3668925166130066,33.029666900634766
2014-01-29,27.600645065307617,15.585113525390623,19.209999084472656,110.91926574707033,36.52089691162109,18.35333824157715,41.080322265625,30.5793399810791,0.3645345568656921,33.10956954956055
2014-02-03,28.26166343688965,15.60939121246338,17.3075008392334,105.19296264648438,35.20652770996094,17.810476303100586,40.17778015136719,30.429203033447266,0.3652420043945312,32.26710510253906
