,GOOGL_forecast_0,GOOGL_forecast_1,GOOGL_forecast_2,GOOGL_forecast_3,AAPL_forecast_0,AAPL_forecast_1,AAPL_forecast_2,AAPL_forecast_3,AMZN_forecast_0,AMZN_forecast_1,AMZN_forecast_2,AMZN_forecast_3,BA_forecast_0,BA_forecast_1,BA_forecast_2,BA_forecast_3,C_forecast_0,C_forecast_1,C_forecast_2,C_forecast_3,INTC_forecast_0,INTC_forecast_1,INTC_forecast_2,INTC_forecast_3,JPM_forecast_0,JPM_forecast_1,JPM_forecast_2,JPM_forecast_3,MSFT_forecast_0,MSFT_forecast_1,MSFT_forecast_2,MSFT_forecast_3,NVDA_forecast_0,NVDA_forecast_1,NVDA_forecast_2,NVDA_forecast_3,WFC_forecast_0,WFC_forecast_1,WFC_forecast_2,WFC_forecast_3
2023-11-17,0.9881691196856522,0.9901050026470958,0.9884810421880866,0.9691294928876225,0.9998944867293194,0.9809150848647424,0.9473106009111473,0.9095079271751616,1.0164530617839398,0.949059003824469,0.9250707889325461,0.9083191002273474,1.0069699280739408,0.9817936441551643,0.9521483446705309,0.9500326606341009,1.0154468151144933,0.976827532912702,0.919135262305408,0.8955977481904076,1.010611519404246,1.0109934931898572,1.0137997557111804,1.0297151895345134,1.0090458096082033,0.9479168835845271,0.9208968972833628,0.9427706811323939,0.9831990280388834,0.9462595487164169,0.9353329943516113,0.9277453820510323,0.9963217841891788,0.9899656697123197,0.9746869259395802,0.936060974608209,1.0101104386793691,0.9409016366738547,0.8843211734199776,0.9308710436226338
2023-11-22,1.0110973303683803,1.0153299462660172,0.9928363632062593,0.9917687045756375,1.003514472206344,0.9711166307868236,0.925897225891144,0.903218721367656,1.0195275395175083,0.9491441226578546,0.9298302522860765,0.9231893654599787,1.0075136269645242,0.9849915591188071,0.9954865722578965,0.978627550268384,0.9984475289069323,0.9324209110148707,0.9024819134269536,0.89281390088743,1.0006873198653246,0.949325352838561,0.9468520059802473,0.9338894398881671,1.0023534725911554,0.9460244211901806,0.9527289163165608,0.9601449039292419,1.0128124963872056,0.9735097237996507,0.9529965547555582,0.9313756705488972,0.9754124076286225,0.9999313421689368,0.976219968629206,0.9400731938890069,1.0042253504214407,0.9582657045695385,0.959481650737851,0.9521166210143186
2023-11-28,1.005791202805374,0.987365739882279,1.0050413406152119,1.0079623326377998,1.003214048444149,0.9751284744876471,0.9507378742603464,0.9384970040003067,0.9952616464598483,0.9651259793650485,0.9495808341317674,0.9380749378435818,1.0139990516311352,0.9959028575191446,0.9586240629540003,0.9193304609954699,0.9951197232117702,0.9646562393498748,0.9554915248381798,0.9231707633385473,1.0034028219015056,0.9745942806004355,0.9473559203570455,0.911476403516723,1.002284792495777,0.9982581486363212,0.9977013806353827,0.9719659954257402,1.0108027402430044,0.9533623496284711,0.9335903176704324,0.9170027989886664,0.9912730578968452,1.0023550608653347,0.9694886309879933,0.9356302735055274,1.0081356904530214,0.9740919734079737,0.9465704366889082,0.9352670519377936
2023-12-01,0.9949446009146632,1.0166893308610363,0.9971303388686419,0.9894367748879885,1.006791188490311,0.9739714732399708,0.9498693683017675,0.94444171538424,1.0064344066326905,0.9726435976382232,0.970663280324382,0.9728231360576023,1.0096705529817187,0.9783964859161688,0.9450903602237924,0.9017843015439121,1.0245119933129072,0.9769925680978445,0.9460859824609944,0.9278161414423046,0.9785235219721982,0.9611205642761069,0.9125125868897046,0.8733302961559549,1.0048692187899626,1.0127628184578596,0.9912107036206144,0.9749559054959566,0.9883877982038658,0.9520142644070231,0.9398782230383057,0.943691671544676,0.9998930313035609,1.0251801100981848,0.9835579956367696,0.9287256103153148,1.0096434372606073,0.9629660495112886,0.9372044391050343,0.9255374501913247
2023-12-06,0.9925948909657905,1.0216532660231972,1.0320236300048637,1.0113480535932167,0.9943130024772384,0.9791639256775495,0.9648455356384208,0.9449426783910131,0.9839324582523368,0.9900186924536888,0.9921095878407079,0.988080141800488,1.0116586764812254,0.9606616577836107,0.9146028514023693,0.8995163999556158,1.0248394729534374,0.9544180130679389,0.9258904914134369,0.8990511118063635,0.9844943390011256,0.9492947448100191,0.9056705676527996,0.8792054142016189,0.9894916335282373,0.9882492224263586,0.9647704187557198,0.9344253700681804,0.9900140466105988,0.970776196321848,0.9819303588002094,0.9857540223521729,0.977172029947381,1.0176085457518254,0.967297508145135,0.9221523967547801,1.0002246466568996,0.9665392226201297,0.9410931295493822,0.8999554533877893
2023-12-11,0.9874063373996612,1.0267458784404198,1.016586277203912,1.0109621934601651,0.9870725951378188,0.9983941270282418,0.9680579361997486,0.9449236979318029,0.9896214977730263,1.0212310520932877,1.0117153364541944,0.9955678622130076,1.0138128521657783,0.9589364638219182,0.9351355145874044,0.905298163932814,0.9848641065099598,0.9545452040534783,0.9209738854273348,0.8857404037597524,1.0430913003773352,0.9570586468405942,0.9301555191383609,0.9291387099075922,1.0036590798745555,0.9826794620723384,0.9544727590661426,0.9307214875411031,0.9921705011108146,1.0084732520215403,1.0088519543450583,1.015067576050363,0.9814970951935853,0.9598736419545223,0.9465753318863666,0.973993228703677,0.9978308792556929,0.988000816314095,0.9368431127647772,0.8920859892705331
2023-12-14,0.9952476264990221,0.9751226494467417,0.9903625883466949,1.0162925285655184,1.0007576720988083,0.9836839860203156,0.9596722775402265,0.9674543558436891,0.9904595659507966,1.007944875328533,0.9971163755390079,0.9852539116390853,1.0212426228307874,0.9801502674299398,0.9479773021288503,0.9296462570367209,1.0182407761129384,0.9601869955623237,0.9111391304648535,0.906097911773541,1.0136863779015413,0.9318179368973918,0.9078124832207639,0.9041403667369637,1.0181920294147329,0.978644698188217,0.9530696159912453,0.9326785781520344,0.9774553637004538,1.0054126605502598,1.011177517994743,1.0374763535699059,1.0054482444942268,0.948751015900058,0.9553669354277737,0.9396874063279582,1.0575793774081519,0.9625765924892089,0.9121235410438838,0.9028147898291946
2023-12-19,1.0062591604104947,0.9943576295067648,1.0086485377373764,0.9949365180113752,1.005360219978795,0.9892691753436567,0.971231149439584,0.9676399891257513,0.9981825532240244,1.0070561242095823,0.9960486182989075,0.9793301849601723,1.0119043280208928,0.9827372870952846,0.9675011178227833,0.9465361212483234,1.0255739181110892,0.9305617145522169,0.9091979316364771,0.9040081641539557,1.0212299293624565,0.9689626907227098,0.9514798629756249,0.9347443756780528,1.0133548348394308,0.9588671431797063,0.9515921145131749,0.9431386221855919,1.001636890282138,1.016960716089485,1.0318783239535743,1.0472382869766175,0.9905545433043699,0.9762751142245796,0.9340709357592692,0.9106174493047017,1.0086587392746302,0.9422139514645864,0.9141130356389829,0.8916688069323906
2023-12-22,1.007620081085576,1.0062271750588239,0.97343388372026,0.9734383413966582,0.9944524713137983,1.0020672300747073,0.9910614845305729,0.9739364471565587,0.9972699026329744,0.9672489684293673,0.953467879901623,0.9405989227807696,0.9939699769539981,0.9868476677208726,0.9775113336290574,0.9558408911369537,1.0051384866278565,0.9820423593395758,0.9754824089764151,0.9659307385303061,1.0195411078122556,0.984341122648834,0.9576294084254959,0.9139275626417112,0.9994030662910494,0.9663406246905167,0.9665836888418867,0.9678858347137972,1.0027840836223025,1.0089402206170133,1.0243323357358085,1.0366497679870783,0.9967340392926283,0.9739362610552879,0.9572087593616219,0.9367425405742016,0.994540060404998,0.9672261882669193,0.9387073685124865,0.9189752887857804
2023-12-28,0.9990026249009935,0.9834189956711721,0.9788127836594085,0.9786189985364343,1.0022263845403365,1.007139961560931,1.0201254158456312,1.0176325110427007,1.0002609139551153,0.9890320290623077,0.9772528847714336,0.963462198259123,0.9933231592550638,1.0049690730255416,0.9944734319892705,0.9771041534893913,1.0011660469969352,1.0029385862924054,0.99861240901231,0.9893715626767772,0.9927108283850218,0.9941118376684867,0.9857568606576941,0.9618621932236102,1.0053128880479718,0.9938545969292749,0.9961467610617922,0.9968562275963508,1.0032347517941356,1.0324658392749249,1.0350596947024167,1.0378199834540642,1.002124904937549,0.9858543295691686,0.9726439627084558,0.9582302319811775,1.003040757687164,0.976125005516485,0.9594638360651238,0.9444391559054914
2024-01-03,1.0054280445495556,1.0074656464340357,0.999117547794007,0.9330087685751175,0.9925122555555694,1.016422349979767,1.0360146094969123,1.0204044610176939,0.9902621788407922,0.9905301632537711,0.9847470779927,0.975707727085073,0.9688195463298145,1.0025356192899713,0.9887486256844987,0.9709911240988719,1.011312215665073,0.992365896564823,0.9952732955161155,0.9934183945242283,0.9843096763883393,0.9643380286200154,0.947418588996179,0.9224606015145477,0.9956413799598571,0.9822559423244944,0.9814843137753049,0.9808328699750345,0.999271908856446,1.0244546357701638,1.0457882554566034,1.0439116863269313,0.9875644172124202,0.9860920553103966,0.9725161958536994,0.9388294161667038,0.9868233035896751,0.9733615272553988,0.944924749308651,0.9442206191355494
2024-01-08,1.0229130486585238,1.0114469247957216,0.9555401171641341,0.9315836085900397,1.0241748925776848,1.0436915810138963,1.0679999029240859,1.086457519376681,1.0265767038306346,1.0030729009873791,1.0034270542040609,1.0134729609233941,0.9196787148594378,1.0233085825831627,1.0199541311919793,1.0154101662308777,0.9941099174570063,0.9930051722972755,0.9897977233338787,0.9779655196517579,1.033269513630548,1.0008238320415659,0.9896072493529081,0.9868842775402749,0.9985487745126463,1.0006806091425235,0.9943760348691683,0.982950216873917,1.0188714904029084,1.0395994889385138,1.0454587445301076,1.0271725081301082,1.064280920677074,1.01151790915275,0.9896253652622363,0.9583473787933978,1.0,0.9872305972472477,0.9892228094559669,0.9987365037593794
2024-01-11,0.9985944132582167,0.9572310973157659,0.9446687574461512,0.9700689101655552,0.9967774791076568,1.0333143509531064,1.0685314735911622,1.0708119573964943,1.009432101662268,1.0022673972067944,1.0159426158519171,1.0329542991361353,0.9772647789719094,1.036060204580461,1.0446153234872604,1.0526196361981972,0.9822709086257017,0.9953417530775581,0.9835860965771828,0.9657959250024497,1.0035812480587594,0.9753968368874693,0.9739876578048952,0.9712906812850988,0.9957899078985314,0.9945228256742932,0.9865072795085236,0.9756455860141267,1.004859312148369,1.0061112119361393,1.0003049698458326,0.9921602147964514,1.0086844598738736,0.9504293252542884,0.9128518584283918,0.8855592560215176,0.9991850489636052,0.9899067841020635,0.981394656716367,0.9629788607657962
2024-01-17,0.9928417393958512,0.9491157988105878,0.964680936527152,0.9531771095627851,0.9948264392369724,1.0373662595065034,1.0419411987157592,1.046574211717072,0.9905327963334276,0.9918253703604459,1.0099553705037523,1.022293551877691,1.0126670318771862,1.0242417241109434,1.0396030908272937,1.0454316684303382,0.9901678275420653,1.025020473356707,1.0067716136795115,0.9824223809527175,0.9787505753294935,0.9914829453019939,0.988730502305423,0.9845137990985482,0.9946424632795279,0.9855321486525743,0.9699940255403504,0.9589603114696943,0.9979501179582076,0.9994756604456876,0.9857527906382599,0.977332814931271,0.9941647997897133,0.9429595555752902,0.9166979342055669,0.905145147793673,0.9967960602373958,0.9918217327406916,0.9797838137342528,0.9778183537692622
2024-01-22,0.9973356726100617,1.0142776865882572,1.0003802536339486,0.9806293027229466,1.0121632463487904,1.009032241986997,1.038394568006424,1.059476194973324,0.9963950201377908,1.0298491320137277,1.0475473937105604,1.0571052116421171,0.9995813803604727,1.0222912071386945,1.0277468686379663,1.0434496929706998,1.02562106817927,1.0063630175037817,1.002159064728356,1.0029953184413387,1.00145374451815,1.006577877939593,1.0225123823923243,1.042778078964442,0.9988256951895474,0.9947548339396796,0.9873994580206893,0.986461770227165,0.99458190386492,0.9866860401705106,0.9780241651038707,0.9646826850823215,1.002740015625895,0.9462966876127226,0.9257436312003638,0.9234952001953797,1.0085204495122193,1.0142104811279358,1.0200693600654995,1.031094538894214
2024-01-25,1.0213180138751745,0.9760394248713324,0.9620027282046146,0.9836041308171869,0.9983034057056775,1.0137711163294008,0.9930502965763143,0.9587730912509832,1.005609771850602,1.023040874784836,1.0387096595955505,1.0408888724904077,0.942791763318251,0.9614505954906303,0.9669095887229074,0.9797173008456023,1.0088246004438632,0.9831891686120064,0.9881026471721759,0.9942654113574733,1.0093706555174917,0.9815187258659883,1.0019788756273325,1.023944477628052,1.014310847304429,0.9859789969813252,0.9888832839211638,0.9953034614549982,1.0057383590510918,0.9966292845752707,0.9712890529614975,0.9470893030020654,1.0041557428835803,0.9494936378001391,0.9318419301973518,0.9107746593802909,1.0078804421284628,0.9993177456964636,0.9938017772434528,1.007742788758327
