Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
25	0.108724356	0.23440854	0.4323907	-0.25739872	500.0	0.025958074	0.07337031	0.22578	-0.1859845	130000	7.629395e-09	0.009625067	-0.015534344	-0.00060026813	0.8557768	0.009225293	0.1366	79.0	32.893250942230225
26	0.3057172	0.24910296	0.72770506	-0.08031381	500.0	0.02200925	0.07847486	0.22182727	-0.19679837	135000	-4.196167e-08	0.010851167	0.006051212	-0.0009048991	0.8473606	0.015693491	0.214	4.0	34.03869700431824
27	0.27969855	0.27581578	0.58058304	-0.30615845	500.0	0.048727583	0.072574414	0.24129425	-0.15347509	140000	3.0517577e-09	0.010976066	0.0020856857	-0.0003653122	0.84723467	0.015103935	0.2216	6.0	35.00701284408569
28	0.33897477	0.27499092	0.8158601	-0.13395056	500.0	0.05126647	0.08058012	0.2500602	-0.20030689	145000	7.6293943e-10	0.012545471	-0.014100824	-0.0003688559	0.84658444	0.010859435	0.1584	79.0	36.401304960250854
29	0.4697675	0.19223416	0.8077437	0.21837032	500.0	0.065484755	0.079794034	0.26430535	-0.17966536	150000	1.373291e-08	0.009416844	-0.013248839	-0.00060629286	0.8389289	0.0064561563	0.1046	79.0	37.82376503944397
30	0.45679983	0.2761145	0.84435344	-0.02959545	500.0	0.08279888	0.076605074	0.2864051	-0.13383853	155000	-2.2125244e-08	0.010995049	-0.00048178178	0.00028482266	0.8336186	0.0153628355	0.2348	5.0	38.83532977104187
31	0.32181928	0.25799084	0.79459745	-0.05860569	500.0	0.035345577	0.07314588	0.23254038	-0.16353227	160000	-7.6293943e-10	0.012528453	0.0188055	-0.00096751284	0.8341845	0.031061502	0.4022	1.0	39.83163285255432
32	0.53198946	0.19985749	0.84837687	0.17746693	500.0	0.054776713	0.087823234	0.28362137	-0.17799209	165000	-1.2969971e-08	0.011943297	0.017314127	-0.0015963037	0.8343087	0.025479298	0.3664	1.0	40.91934585571289
33	0.63871294	0.18751456	0.9311931	0.20348683	500.0	0.092239924	0.08029215	0.29533648	-0.14625156	170000	1.9073486e-08	0.011528396	0.020793738	-0.00068158004	0.8344189	0.029459096	0.433	1.0	41.97868490219116
34	0.64815414	0.26776507	1.1332934	0.17650086	500.0	0.10930607	0.08609593	0.3539954	-0.118159056	175000	-6.866455e-09	0.011308237	0.008275287	0.000447304	0.83451056	0.022802139	0.3646	3.0	42.98373889923096
35	0.57953554	0.22885078	0.8771999	0.12862816	500.0	0.124817826	0.076363	0.3289377	-0.09401375	180000	6.1035155e-09	0.013484305	-0.014185773	-0.002082646	0.8347226	0.009217408	0.1334	79.0	44.43838286399841
36	0.60618454	0.21204083	0.9907727	0.32994822	500.0	0.105395384	0.09822303	0.34672904	-0.18204376	185000	-1.6784668e-08	0.012963162	0.008772776	-0.00087006204	0.8256448	0.023208333	0.3228	16.0	45.898805141448975
37	0.69156283	0.101354	0.8026164	0.45708224	500.0	0.11120854	0.085636385	0.33567417	-0.13400164	190000	-6.866455e-09	0.009826776	-0.012673338	-0.00035363156	0.82353586	0.008511044	0.122	79.0	47.2087287902832
38	0.5318841	0.24738707	0.8817835	0.10707828	500.0	0.1197305	0.09007855	0.34641966	-0.14767888	195000	1.2207031e-08	0.010911261	0.0033184553	-0.0008825632	0.82159686	0.018265478	0.2708	2.0	48.23989486694336
39	0.71993315	0.22369055	1.0793574	0.31477886	500.0	0.09692992	0.08798686	0.3164004	-0.15341178	200000	3.8146974e-09	0.009789549	-0.015134951	-0.0008658655	0.82149804	0.010797833	0.1228	79.0	49.60583996772766
40	0.6507692	0.18002178	0.9386079	0.40856257	500.0	0.12099407	0.09105521	0.35010237	-0.12806901	205000	-1.6021728e-08	0.008768303	-0.014217219	0.00032703578	0.82281345	0.009712538	0.1258	79.0	50.83801198005676
41	0.757014	0.15636906	0.98657537	0.5612762	500.0	0.1446061	0.09101117	0.37578368	-0.104828075	210000	2.2888185e-09	0.01016938	0.0025779717	-0.00069580507	0.8209917	0.022054741	0.319	6.0	51.89788198471069
42	0.7078974	0.23318993	1.1969506	0.34700328	500.0	0.12575038	0.10065013	0.39050126	-0.15515187	215000	-4.577637e-09	0.01005869	0.0063521643	-0.0007975288	0.82092935	0.024623116	0.3464	1.0	52.86190485954285
43	0.6964194	0.18057822	0.9814112	0.3891702	500.0	0.1265779	0.0891477	0.38050747	-0.12714155	220000	2.2888184e-08	0.0076414254	0.008622443	-0.00038077636	0.8209261	0.016332747	0.2222	1.0	53.94639587402344
44	0.64513576	0.16133988	0.8183861	0.2716402	500.0	0.12157013	0.08641186	0.3524657	-0.12706946	225000	9.155274e-09	0.008861434	0.0050113583	-0.00040937867	0.8209297	0.01676021	0.2244	1.0	55.01358699798584
45	0.7121196	0.2318069	1.1027042	0.2996015	500.0	0.11402348	0.087013744	0.35956162	-0.14695211	230000	1.5258789e-09	0.008375485	-0.012904341	0.0012690732	0.82094795	0.0065103094	0.1142	79.0	56.27422595024109
46	0.7812513	0.19727866	1.1473529	0.44018576	500.0	0.1090525	0.088942274	0.37747493	-0.12863517	235000	0.0	0.009650648	-0.013387436	-0.0011386005	0.8198835	0.01250993	0.1278	79.0	57.57797193527222
47	0.7543922	0.2090169	1.0547498	0.24181037	500.0	0.1331976	0.089731865	0.39520514	-0.12889595	240000	-9.155274e-09	0.008358678	-0.013914106	-0.0006404002	0.8134516	0.01300639	0.12	79.0	59.005115032196045
48	0.81487113	0.09384416	0.95566744	0.66227174	500.0	0.13006745	0.095481314	0.42028555	-0.15628326	245000	0.0	0.006572103	0.0026307877	-0.0004277788	0.8110402	0.018144654	0.283	2.0	60.11484384536743
49	0.92274886	0.15261982	1.2905889	0.6760567	500.0	0.14042613	0.092331626	0.42680573	-0.12874293	250000	6.1035155e-09	0.0073116934	-0.014239165	-0.00067959493	0.8110875	0.008765035	0.1284	79.0	61.303972005844116
50	0.9209717	0.14588726	1.2334665	0.7301004	500.0	0.15700725	0.096949056	0.4602544	-0.13425452	255000	-9.155274e-09	0.0069293594	0.004154542	-8.175289e-05	0.81090146	0.01797937	0.2976	10.0	62.270084857940674
51	0.9888509	0.13434896	1.2225351	0.7865771	500.0	0.1373207	0.103553385	0.47541207	-0.14027102	260000	-2.6702882e-08	0.0076548136	0.0012170654	-0.0017470382	0.8092082	0.015792409	0.2094	2.0	63.20767402648926
52	0.9723935	0.21986134	1.367804	0.56775475	500.0	0.16899468	0.10281165	0.46327162	-0.14212452	265000	-3.0517577e-09	0.008118309	-0.014892848	0.00070362166	0.80868375	0.009766465	0.1338	79.0	64.40380191802979
53	1.0282482	0.20670068	1.3269821	0.6205248	500.0	0.15679756	0.10395559	0.46433496	-0.15059248	270000	-1.373291e-08	0.008816395	1.1991882e-05	-0.0007137675	0.7990467	0.015210883	0.268	14.0	65.4271650314331
54	0.9196652	0.1517381	1.2230184	0.69273007	500.0	0.17744572	0.107701235	0.492423	-0.11012079	275000	-6.4849854e-09	0.0072117094	0.00282808	-0.00077204267	0.79626626	0.016196242	0.2316	2.0	66.40634298324585
55	1.0375721	0.19912915	1.3771473	0.7416887	500.0	0.16577277	0.105537795	0.48834956	-0.14243993	280000	1.4877319e-08	0.007274942	0.0008746048	-0.00052018976	0.79573447	0.016726619	0.2142	8.0	67.40925812721252
56	1.0253247	0.10900133	1.2301933	0.8447128	500.0	0.17727485	0.106007405	0.49756014	-0.1254054	285000	-1.6021728e-08	0.0061844713	-0.015768452	-7.244432e-05	0.7937281	0.011530105	0.1226	79.0	68.8035569190979
57	1.1031406	0.30999658	1.553856	0.5420387	500.0	0.17744862	0.10553738	0.5005239	-0.110991955	290000	2.4414062e-08	0.007941289	-0.013624581	-0.0003289706	0.79017425	0.006821367	0.1086	79.0	69.99548077583313
58	1.0758283	0.19122781	1.3934729	0.8277028	500.0	0.18639053	0.11043498	0.51069593	-0.12983502	295000	4.196167e-09	0.008326389	0.0015502926	-0.00022450183	0.7864034	0.018308075	0.2604	2.0	70.91625189781189
59	1.1527077	0.19146593	1.4599053	0.7684971	500.0	0.18014935	0.11491023	0.5056571	-0.1386319	300000	-3.0517577e-09	0.008701979	-0.014445795	-0.00056591444	0.7864043	0.0071879905	0.1158	79.0	72.07418513298035
60	1.0587559	0.13999316	1.2944527	0.7887753	500.0	0.1978157	0.112702504	0.5206695	-0.12351899	305000	5.340576e-09	0.006965991	0.010312704	-0.00040630857	0.77617735	0.018782096	0.2746	4.0	73.00544381141663
61	0.98947084	0.22724216	1.4442866	0.67015415	500.0	0.1813905	0.111824416	0.5096761	-0.13287269	310000	1.9073487e-09	0.007452017	0.003117465	-0.0004517669	0.77629405	0.01711458	0.2526	8.0	73.97350478172302
62	1.1074274	0.19424374	1.3802083	0.7241116	500.0	0.16733724	0.12058867	0.51725835	-0.171346	315000	-2.8610229e-08	0.0072502107	-0.014759169	-0.00042717857	0.776332	0.007989563	0.1236	79.0	75.21339988708496
63	1.1267498	0.19496104	1.3653847	0.69698477	500.0	0.18462956	0.12048401	0.5208915	-0.1488062	320000	-1.373291e-08	0.0067865294	0.0040314603	-0.00032809982	0.76734674	0.016546778	0.2216	7.0	76.18207502365112
64	1.0367543	0.14383827	1.2898722	0.80459976	500.0	0.19423284	0.1141899	0.5257319	-0.12480678	325000	2.0599366e-08	0.007021414	0.022712654	-0.00038070977	0.76693594	0.026068471	0.3992	1.0	77.10384893417358
65	0.9699791	0.16088265	1.1911498	0.7072977	500.0	0.18082836	0.109502345	0.502536	-0.12718295	330000	1.2588501e-08	0.0072495635	0.018797882	-0.00063864747	0.76687264	0.04297973	0.464	3.0	78.25966501235962
66	1.0205101	0.21144137	1.3115616	0.60025364	500.0	0.1679507	0.11444645	0.5119872	-0.14549977	335000	2.5177002e-08	0.006789113	0.010738587	-0.00014689565	0.76647544	0.017611653	0.2782	1.0	79.21177792549133
67	1.2561429	0.12138915	1.46554	1.0990571	500.0	0.16584371	0.11860433	0.50602597	-0.15543228	340000	7.629395e-09	0.008372405	0.017265292	-0.0018452457	0.7663195	0.028664386	0.3696	3.0	80.1323299407959
68	1.1429806	0.16708334	1.4324672	0.84503675	500.0	0.20929556	0.11660322	0.5480665	-0.11367418	345000	-1.8310548e-08	0.0066680238	0.003065456	-0.0005312129	0.7658221	0.018866824	0.2496	14.0	81.09331583976746
69	1.0895921	0.15846205	1.3709383	0.87747675	500.0	0.19840051	0.116030514	0.536364	-0.120558724	350000	-6.1035155e-09	0.0066836565	0.002173054	-0.00029269792	0.7636825	0.015588316	0.2168	4.0	82.01213598251343
70	1.0769442	0.15120807	1.3568536	0.8960008	500.0	0.18715371	0.118971616	0.53450465	-0.1537475	355000	-3.4332275e-09	0.006049263	-0.012054146	-0.00025849836	0.7630411	0.016265493	0.2102	78.0	83.15951085090637
71	1.055183	0.19824736	1.463414	0.8077415	500.0	0.18532911	0.11996626	0.5064633	-0.15692952	360000	-8.010864e-09	0.007689573	0.0022455887	-0.0001819497	0.75931007	0.017597139	0.245	14.0	84.12240481376648
72	1.1644609	0.25754645	1.5193028	0.571293	500.0	0.18065876	0.12265625	0.5184727	-0.16223174	365000	4.196167e-09	0.008985911	-0.014704257	-0.00065999385	0.7580455	0.01464441	0.1452	79.0	85.27583193778992
73	1.1006254	0.14785463	1.3786757	0.88293856	500.0	0.199686	0.11202141	0.5127284	-0.11493011	370000	-1.1444092e-08	0.0056478386	-0.012246844	-0.00037488388	0.74892795	0.014116065	0.1238	79.0	86.4356119632721
74	1.0440997	0.21952115	1.467731	0.8015639	500.0	0.18930097	0.11558887	0.5331599	-0.12521705	375000	-1.411438e-08	0.007339835	-0.015857222	-0.0004525222	0.74697393	0.0109760165	0.132	79.0	87.58102416992188
75	1.2584596	0.081621386	1.4074266	1.1594158	500.0	0.17805465	0.120754965	0.51239026	-0.16405912	380000	4.577637e-09	0.0077740806	-0.015139852	-0.0017955098	0.7475711	0.012044775	0.1422	79.0	88.7480001449585
76	1.221775	0.17188662	1.4877425	0.9713719	500.0	0.2141273	0.119703546	0.5664523	-0.08931887	385000	1.7738342e-08	0.010000611	0.0031607621	-0.001271911	0.7409945	0.015456743	0.2168	6.0	89.66994595527649
77	1.126535	0.13011613	1.354573	0.98340315	500.0	0.20679848	0.13167252	0.55382836	-0.15566239	390000	-1.2969971e-08	0.0082023805	-0.016392145	-0.0013671196	0.7407835	0.013391444	0.1256	79.0	90.82369804382324
78	1.2414465	0.20758119	1.5827143	0.97305113	500.0	0.19195585	0.12175794	0.5135439	-0.13004851	395000	1.2588501e-08	0.008555119	-0.016229406	-0.00085115386	0.7355831	0.010356948	0.1502	79.0	92.00667095184326
79	1.2811632	0.09598625	1.403469	1.0227007	500.0	0.2141807	0.1191972	0.54916084	-0.111366436	400000	-5.722046e-09	0.0056634764	-0.01674838	-0.00020784745	0.73229766	0.011493384	0.152	79.0	93.21024084091187
80	1.2558434	0.15757182	1.532921	0.98741674	500.0	0.2210582	0.1176711	0.5386984	-0.10235615	405000	9.918213e-09	0.005634158	0.002642887	-0.00013491465	0.7299247	0.016453644	0.2956	14.0	94.21029686927795
81	1.327833	0.17612852	1.6357117	1.0383989	500.0	0.2165382	0.117679924	0.5364288	-0.11179611	410000	2.0408631e-08	0.007090633	-0.0065061217	-0.00039338088	0.73000187	0.015228865	0.1982	48.0	95.29624390602112
82	1.2389113	0.15510255	1.4608165	1.0363821	500.0	0.22870316	0.12304097	0.56846505	-0.09411077	415000	-2.07901e-08	0.006708218	0.011684708	-0.00067782216	0.7283434	0.028315777	0.3694	6.0	96.2554759979248
83	1.279185	0.16398819	1.5862367	1.0292058	500.0	0.20994166	0.12669393	0.5507985	-0.14474657	420000	5.531311e-09	0.006386772	0.002063234	-0.00022925204	0.7282245	0.016971212	0.2806	7.0	97.1957778930664
84	1.2840519	0.21083567	1.660878	0.9442809	500.0	0.21051802	0.12579963	0.54253346	-0.11564751	425000	-3.0517577e-09	0.007746404	-0.014749046	-0.00026311073	0.7284136	0.008280874	0.14	79.0	98.35415291786194
85	1.3088772	0.13933185	1.5181602	1.08551	500.0	0.21807715	0.13571025	0.58057094	-0.14312634	430000	-1.2969971e-08	0.006206834	-0.011546554	-0.00040360726	0.7225253	0.015707484	0.2076	42.0	99.40168690681458
86	1.3085096	0.22095685	1.7455246	0.9314648	500.0	0.22134173	0.122181274	0.5581131	-0.0888361	435000	-1.0299683e-08	0.007678681	-0.008118156	-0.0007114676	0.71877736	0.01605998	0.19	20.0	100.37599015235901
87	1.2739153	0.24397045	1.6237925	0.7938668	500.0	0.22222483	0.14046088	0.5837383	-0.16175365	440000	1.3351441e-08	0.0076665916	-0.017128251	-0.0005791541	0.7154053	0.00920079	0.1716	79.0	101.53447675704956
88	1.3453387	0.21172082	1.8000269	1.0854539	500.0	0.2128141	0.14088792	0.5732312	-0.15951368	445000	-6.4849854e-09	0.007823994	-0.017473835	-0.0014646752	0.7041154	0.01239641	0.1718	79.0	102.69752192497253
89	1.424772	0.18583505	1.8270878	1.1261728	500.0	0.23544472	0.12543203	0.58233213	-0.0851599	450000	-2.861023e-09	0.006448502	-0.01538432	-0.00044320058	0.70531446	0.012175554	0.1722	79.0	103.85498785972595
90	1.4371297	0.115143746	1.6684667	1.2333509	500.0	0.24466406	0.13432108	0.606477	-0.09134683	455000	1.5258789e-09	0.0062315012	-0.012832899	-0.0002284483	0.69610107	0.009925239	0.1228	79.0	105.01043891906738
91	1.4527133	0.19503187	1.7620696	1.0989798	500.0	0.24635528	0.13770059	0.6066283	-0.105264544	460000	-1.449585e-08	0.0068943985	0.003160228	-0.0001807739	0.6962403	0.019657806	0.265	2.0	105.9417998790741
92	1.4483746	0.19574875	1.8179553	1.2076097	500.0	0.25185245	0.13521916	0.59772426	-0.09354593	465000	9.918213e-09	0.0068668206	0.0046621463	-0.00047878874	0.6962802	0.018048752	0.309	4.0	106.96479606628418
93	1.5561314	0.18944941	1.8465078	1.2570586	500.0	0.24241726	0.13670757	0.5927279	-0.10444586	470000	-1.2969971e-08	0.008044008	0.030513417	-0.0008582105	0.6962997	0.038846295	0.4954	1.0	107.89341974258423
94	1.5590346	0.09976493	1.7016996	1.4074465	500.0	0.26193848	0.14762233	0.61810565	-0.13706769	475000	1.1825562e-08	0.0060792905	0.023299022	-0.00028280867	0.6962513	0.032320604	0.4038	1.0	108.92914891242981
95	1.658281	0.1405584	1.9158196	1.4670812	500.0	0.2626827	0.1389829	0.6107028	-0.10455811	480000	-2.2888185e-09	0.0076076617	0.02230728	-0.00065151695	0.69621336	0.037761085	0.4406	1.0	110.09434390068054
96	1.6695149	0.21168862	2.0652933	1.3172559	500.0	0.28100976	0.14717504	0.63002235	-0.09963168	485000	2.2888184e-08	0.008115689	0.020489886	-0.00032899808	0.6961903	0.028183147	0.3976	1.0	111.14743304252625
97	1.6857214	0.14995673	1.9362084	1.455723	500.0	0.2801701	0.15786238	0.64314467	-0.13526127	490000	7.247925e-09	0.0062095835	0.022578236	-0.00016673515	0.69615704	0.03508087	0.4412	1.0	112.19123578071594
98	1.6456175	0.23341575	2.0948088	1.3010479	500.0	0.30084407	0.15341854	0.6619266	-0.11395706	495000	1.9073486e-08	0.009243135	0.016617035	-0.0010311976	0.6961213	0.030627282	0.365	1.0	113.23773384094238
99	1.8492445	0.16648379	2.1205797	1.6144054	500.0	0.27427515	0.16385926	0.6406213	-0.16038479	500000	3.852844e-08	0.007461224	0.012208278	-0.0013203686	0.69606704	0.01801665	0.3028	1.0	114.4407958984375
100	1.794849	0.1600497	2.0351245	1.4988742	500.0	0.30501238	0.16338307	0.6398709	-0.13845654	505000	-1.7929077e-08	0.005662343	0.014414985	-0.00037983852	0.6960157	0.02876157	0.3798	1.0	115.43797373771667
101	1.8723412	0.11673623	2.0416958	1.6934495	500.0	0.29514924	0.1578152	0.62017024	-0.11393069	510000	-7.6293943e-10	0.006343771	0.018693497	-0.00068091555	0.695972	0.02728634	0.4122	1.0	116.45192575454712
102	1.9375225	0.18551077	2.3661942	1.74499	500.0	0.3097086	0.15805644	0.6482736	-0.11840792	515000	-1.9073486e-08	0.0054381713	0.017149337	-0.00025630603	0.69590396	0.022128465	0.3916	1.0	117.56077098846436
103	1.8623073	0.11447652	2.0487595	1.6612391	500.0	0.3164168	0.15888219	0.63971287	-0.10626353	520000	-2.5177002e-08	0.005484905	0.018924247	-0.00030802377	0.6958543	0.028231217	0.3908	1.0	118.57982587814331
104	1.987764	0.15362787	2.183831	1.6787248	500.0	0.30635455	0.1632836	0.64495313	-0.12480301	525000	-3.4332275e-09	0.0056921327	0.023605786	-0.0006410149	0.69578296	0.0432742	0.4884	1.0	119.60311508178711
105	1.9818119	0.08988297	2.0718277	1.7653316	500.0	0.32708517	0.16430257	0.6605722	-0.10413943	530000	1.6021728e-08	0.0047823414	0.02897614	-0.00033424934	0.6957199	0.040988576	0.4696	1.0	120.6681501865387
106	2.0660152	0.13821064	2.2902372	1.7549889	500.0	0.32582086	0.15996116	0.67096317	-0.078344345	535000	-2.1362304e-08	0.006025871	0.02912521	-0.00049221655	0.69564843	0.037567113	0.4892	1.0	121.69653677940369
107	2.0640187	0.11291859	2.289195	1.8723494	500.0	0.33977616	0.16502455	0.6702162	-0.102383226	540000	9.918213e-09	0.0047112955	0.02238023	-3.173668e-05	0.69557166	0.027505154	0.4174	1.0	122.93356800079346
108	2.0972698	0.11724586	2.281799	1.907708	500.0	0.3307206	0.16799775	0.6695944	-0.10597281	545000	1.2207031e-08	0.0042344457	0.014430283	-0.00021428987	0.6955034	0.019731922	0.3386	1.0	124.08072996139526
109	2.0364108	0.092973895	2.180148	1.9128253	500.0	0.33624405	0.1655216	0.69113064	-0.103470415	550000	1.2969971e-08	0.004411082	0.020458855	-0.00022071181	0.6954175	0.036995027	0.4458	1.0	125.117910861969
110	2.0721307	0.094915554	2.2003477	1.9020587	500.0	0.32499877	0.16814907	0.65692174	-0.12372014	555000	7.247925e-09	0.004111939	0.030389769	-0.00070194923	0.6953256	0.043941893	0.5086	1.0	126.0945680141449
111	2.0798564	0.14041089	2.3645356	1.9345688	500.0	0.3424232	0.15687698	0.66631424	-0.06976147	560000	8.392334e-09	0.0039903633	0.02565227	-0.0002300134	0.69522417	0.039352696	0.4476	1.0	127.06683611869812
112	2.2122445	0.13064617	2.3576977	1.9373424	500.0	0.34664142	0.16297105	0.67561156	-0.09303668	565000	4.119873e-08	0.004231228	0.021726377	-0.00031369785	0.69510424	0.03005997	0.4334	1.0	128.0111699104309
113	2.0861242	0.08473489	2.2370622	1.9422094	500.0	0.35969833	0.16643453	0.689367	-0.085511714	570000	1.6784668e-08	0.0034732327	0.020424973	-0.00040601497	0.6949914	0.041135326	0.4504	1.0	128.9526789188385
114	2.1901038	0.12878333	2.4172628	1.9896271	500.0	0.3414819	0.16615342	0.6750176	-0.1063361	575000	1.2207031e-08	0.003835488	0.0299013	-0.00079217274	0.69491255	0.0378893	0.4792	1.0	129.90109395980835
115	2.1728165	0.08743864	2.395759	2.0552301	500.0	0.36062327	0.15326335	0.6663892	-0.057950914	580000	-2.6702882e-08	0.0032285773	0.030863594	-0.00038339896	0.6948209	0.04090946	0.4926	1.0	130.84248685836792
