,date,CASH,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
46,2015-05-18,0.0,0.0,0.28793266,0.28793266,0.13620201,0.0,0.0,0.0,0.0,0.28793266,0.0
47,2015-05-21,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
48,2015-05-27,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
49,2015-06-01,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
50,2015-06-04,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
51,2015-06-09,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
52,2015-06-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
53,2015-06-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
54,2015-06-22,0.0,0.0,0.28406754,0.28406754,0.14779735,0.0,0.0,0.0,0.0,0.28406754,0.0
55,2015-06-25,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
56,2015-06-30,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
57,2015-07-06,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
58,2015-07-09,0.0,0.0,0.38343066,0.21356109,0.01650405,0.0,0.0,0.0,0.0,0.38650423,0.0
59,2015-07-14,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
60,2015-07-17,0.0,0.0,0.25244787,0.30334863,0.1408548,0.0,0.0,0.0,0.0,0.30334863,0.0
61,2015-07-22,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
62,2015-07-27,0.0,0.0,0.269304,0.365348,0.0,0.0,0.0,0.0,0.0,0.365348,0.0
63,2015-07-30,0.0,0.0,0.31836608,0.31836608,0.044901773,0.0,0.0,0.0,0.0,0.31836608,0.0
64,2015-08-04,0.0,0.0,0.22960599,0.385197,0.0,0.0,0.0,0.0,0.0,0.385197,0.0
65,2015-08-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
66,2015-08-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
67,2015-08-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
68,2015-08-20,0.0,0.0,0.318926,0.318926,0.043221988,0.0,0.0,0.0,0.0,0.318926,0.0
69,2015-08-25,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
70,2015-08-28,0.0,0.0,0.33221042,0.33389476,0.0,0.0,0.0,0.0,0.0,0.33389476,0.0
71,2015-09-02,0.0,0.0,0.32784197,0.32784197,0.016474105,0.0,0.0,0.0,0.0,0.32784197,0.0
72,2015-09-08,0.0,0.0,0.22549547,0.35056463,0.07337521,0.0,0.0,0.0,0.0,0.35056463,0.0
73,2015-09-11,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
74,2015-09-16,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
