Price,Close,High,Low,Open,Volume
Ticker,XLI,XLI,XLI,XLI,XLI
Date,,,,,
2013-01-02,31.051036834716797,31.13104343594012,30.843014788246236,30.979029672793327,14885700
2013-01-03,31.067052841186523,31.27507192984986,30.987043151656327,31.019047027468407,9592100
2013-01-04,31.299062728881836,31.323067153654108,31.11504508326269,31.1870522534664,6466400
2013-01-07,31.163049697875977,31.227054373373953,31.051039226712195,31.203053001569266,5513800
2013-01-08,30.923025131225586,31.139043569757824,30.81901410567047,31.06703945828459,7543400
2013-01-09,31.23505401611328,31.29905868577281,31.019032533407085,31.043033903022387,6851700
2013-01-10,31.387067794799805,31.41106916442864,31.16304687278092,31.395070286046856,11710300
2013-01-11,31.275056838989258,31.355063437857034,31.21104911825015,31.299058208238367,6999900
2013-01-14,31.395084381103516,31.40308382388582,31.25906943734416,31.33107663061499,6250500
2013-01-15,31.483074188232422,31.515078046935816,31.211047493365466,31.22704942271716,5115200
2013-01-16,31.35506248474121,31.37106441443957,31.275055888305438,31.315059186523325,7569900
2013-01-17,31.691104888916016,31.74711013094287,31.427077560455047,31.507087229105394,11890000
2013-01-18,31.94713592529297,31.97113730451825,31.675109103196057,31.819123482662505,10912700
2013-01-22,32.07514190673828,32.07514190673828,31.81911707305074,31.875122314666342,7550200
2013-01-23,32.08313751220703,32.13114330730598,31.923124299323323,32.003130905765175,6430700
2013-01-24,32.27516174316406,32.73120617237623,32.05914021584407,32.0911440833115,6893000
2013-01-25,32.37918472290039,32.4191880459534,32.23517031826322,32.37918472290039,6908900
2013-01-28,32.403175354003906,32.52318833539705,32.25916099715489,32.50718640107417,5583500
2013-01-29,32.47517395019531,32.483173389214286,32.283153841122925,32.33115963140504,5456100
2013-01-30,32.17914962768555,32.515181042694266,32.16314769572469,32.44317387489862,6991200
2013-01-31,32.067134857177734,32.22714805122248,31.995127699035184,32.067134857177734,9929300
2013-02-01,32.37918472290039,32.4191880459534,32.19516699521021,32.267174197528796,8661400
2013-02-04,32.099143981933594,32.283161644410534,32.059140673057186,32.21915696061964,8989600
2013-02-05,32.395164489746094,32.46717164277957,32.22714576463078,32.2751515506717,8590700
2013-02-06,32.403175354003906,32.427176729459774,32.211155194186254,32.28316237261076,11049500
2013-02-07,32.3631706237793,32.49118304068686,32.12314772358471,32.45117973266389,8007000
2013-02-08,32.491188049316406,32.51518942741873,32.35517311860301,32.41117836887993,7164200
2013-02-11,32.46718215942383,32.51518490895779,32.39517498306607,32.42717579873644,7718700
2013-02-12,32.611183166503906,32.66719144337612,32.523177136118086,32.53117657449649,5780100
2013-02-13,32.787208557128906,32.899219031446826,32.691200015150194,32.779209116987566,6412200
2013-02-14,32.8352165222168,32.85121845561259,32.587191132667066,32.643196373523985,9256100
2013-02-15,32.85121154785156,32.93921758493795,32.747200528678086,32.88321235585749,8009200
2013-02-19,33.09123992919922,33.11524130223226,32.883217856057534,32.979229452302896,8524900
2013-02-20,32.65919494628906,33.13924069053931,32.635193574693474,33.131241250692916,10619200
2013-02-21,32.41918182373047,32.58719757954055,32.275167446734024,32.531192327603854,15582800
2013-02-22,32.675201416015625,32.71520472491613,32.53918650328573,32.53918650328573,9693400
2013-02-25,32.003150939941406,32.89123886685411,31.987148998224438,32.85123553859085,10921300
2013-02-26,32.19514083862305,32.26714798244022,31.979119407171524,32.09112984154147,14203900
2013-02-27,32.80321502685547,32.899223582114224,32.15515041173075,32.2031562153886,10214100
