,WMAMR
2013-09-24,1.0
2013-09-27,0.9999681978336329
2013-10-02,0.9914927103960874
2013-10-07,0.9888937017196703
2013-10-10,1.0005888482826237
2013-10-15,1.0053415926417266
2013-10-18,1.077129505802011
2013-10-23,1.0717438582730008
2013-10-28,1.080479213444289
2013-10-31,1.0741295814952228
2013-11-05,1.051230301478033
2013-11-08,1.1043894396482632
2013-11-13,1.1136535784591024
2013-11-18,1.1274264881961302
2013-11-21,1.1278373846411134
2013-11-26,1.143484328359793
2013-12-02,1.1401843713402486
2013-12-05,1.1671255243305898
2013-12-10,1.1508822387109297
2013-12-13,1.146246779438726
2013-12-18,1.1810989249275259
2013-12-23,1.1929918626506097
2013-12-27,1.2110225265558947
2014-01-02,1.2068002596700227
2014-01-07,1.1824437695385157
2014-01-10,1.1609861151545717
2014-01-15,1.214184084486179
2014-01-21,1.1961242577518423
2014-01-24,1.211308511436915
2014-01-29,1.1851528037314227
2014-02-03,1.140905702910315
2014-02-06,1.1879305230337802
2014-02-11,1.2333855313701885
2014-02-14,1.2120821028671598
2014-02-20,1.1864735043872991
2014-02-25,1.2153722136809062
2014-02-28,1.2092953526125017
2014-03-05,1.2092953526125017
2014-03-10,1.203708363572273
2014-03-13,1.1657203760508288
2014-03-18,1.1846000254983764
2014-03-21,1.1913274681462134
2014-03-26,1.1960522786605268
2014-03-31,1.1660601927087353
2014-04-03,1.156037266506027
2014-04-08,1.1333406952733234
2014-04-11,1.0801855591481555
2014-04-16,1.121593874024333
2014-04-22,1.1271493816982034
2014-04-25,1.1249280916118185
2014-04-30,1.1276158540920656
2014-05-05,1.1455674909308835
2014-05-08,1.1413870887145319
2014-05-13,1.2003833927355967
2014-05-16,1.1730374648066764
2014-05-21,1.1866062331306302
2014-05-27,1.2073585502829252
2014-05-30,1.2013217575315105
2014-06-04,1.2013217575315105
2014-06-09,1.2107117074117213
2014-06-12,1.2081280606018099
2014-06-17,1.2081280606018099
2014-06-20,1.236973939360886
2014-06-25,1.1835946426660067
2014-06-30,1.1851784094923632
2014-07-03,1.1971017619882174
2014-07-09,1.1943727331153235
2014-07-14,1.2170588394323854
