,SPY
2013-09-24,0.0
2013-09-27,-0.003663946142080549
2013-10-02,0.0015973587511242378
2013-10-07,-0.010397933076256229
2013-10-10,0.010338617397591824
2013-10-15,0.00312869001424727
2013-10-18,0.02726143943299524
2013-10-23,0.0010319119470257314
2013-10-28,0.009464009505200875
2013-10-31,-0.0024996556845550597
2013-11-05,0.002726760412922114
2013-11-08,0.005770137081918529
2013-11-13,0.0061289107890447414
2013-11-18,0.0058138388749979664
2013-11-21,0.002726926246143625
2013-11-26,0.004270231587007021
2013-12-02,-0.0008302308392726186
2013-12-05,-0.008846269880083316
2013-12-10,0.010064372084647409
2013-12-13,-0.014713571068951013
2013-12-18,0.01995580912326151
2013-12-23,0.009971900344187571
2013-12-27,0.007205794495829718
2014-01-02,-0.005071639496917702
2014-01-07,0.0030564842233460417
2014-01-10,0.0035910363617124943
2014-01-15,0.0028198942704573205
2014-01-21,-0.0026025111838956596
2014-01-24,-0.02914245755516671
2014-01-29,-0.008646241153710103
2014-02-03,-0.018093334755375057
2014-02-06,0.018826115625690504
2014-02-11,0.025039086290243047
2014-02-14,0.011147518644494571
2014-02-20,0.0004348012050180748
2014-02-25,0.004011421397552114
2014-02-28,0.007813877512457476
2014-03-05,0.007806651281819501
2014-03-10,0.0021817599370201365
2014-03-13,-0.015964622431013938
2014-03-18,0.013303431740751952
2014-03-21,-0.003406425522658108
2014-03-26,-0.006627772114740316
2014-03-31,0.010968480483552463
2014-04-03,0.008625297166903814
2014-04-08,-0.01889127221989018
2014-04-11,-0.01958558109494237
2014-04-16,0.02513444508420048
2014-04-22,0.009411879182131426
2014-04-25,-0.008552332018068898
2014-04-30,0.010785065713579338
2014-05-05,0.0005838964733282364
2014-05-08,-0.003935311241375681
2014-05-13,0.012075137907031347
2014-05-16,-0.010105546453271838
2014-05-21,0.005726831183860583
2014-05-27,0.012557554405265972
2014-05-30,0.006038694901018182
2014-06-04,0.0026433641134696916
2014-06-09,0.012295076517497748
2014-06-12,-0.010485237578475711
2014-06-17,0.006643077323623973
2014-06-20,0.010461496473761205
2014-06-25,-0.001838873965439908
2014-06-30,0.0007153320297001207
2014-07-03,0.01259152891269902
2014-07-09,-0.005463512716616907
2014-07-14,0.0024317693609898264
2014-07-17,-0.009610689631729235
2014-07-22,0.012642432987356136
2014-07-25,-0.0024245846849154126
2014-07-30,-0.003749829495366832
2014-08-04,-0.015810803818439568
2014-08-07,-0.014860636958144617
2014-08-12,0.013002113387328738
2014-08-15,0.011252212656838758
2014-08-20,0.016217880229048923
2014-08-25,0.006414289567784393
2014-08-28,-0.00029981840175549257
2014-09-03,0.0017970144728175123
2014-09-08,0.0004486580314874339
2014-09-11,-0.0014466007045930184
2014-09-16,0.0008980101732163112
2014-09-19,0.005760259116319698
2014-09-24,-0.005696015648563389
2014-09-29,-0.010173993735599565
2014-10-02,-0.01612593355898482
2014-10-07,-0.005778752684213091
2014-10-10,-0.014174086689279785
2014-10-15,-0.021806419313802023
2014-10-20,0.020546042643280246
2014-10-23,0.024038264050821878
2014-10-28,0.01769570310943352
2014-10-31,0.01624715682465379
2014-11-05,0.0033664733910288114
2014-11-10,0.008072380427736123
2014-11-13,0.0010291436632520973
2014-11-18,0.00663837569669847
2014-11-21,0.005482506401766915
2014-11-26,0.004633948523694285
2014-12-02,-0.002651979610840481
2014-12-05,0.004384167150743483
2014-12-10,-0.023544116755193856
2014-12-15,-0.018129836848967396
2014-12-18,0.03579155676579693
2014-12-23,0.010183960688496809
2014-12-29,0.004658247046777174
2015-01-02,-0.015888424542301535
2015-01-07,-0.015304323101762968
2015-01-12,0.0016793116778965672
2015-01-15,-0.018075117226463603
2015-01-21,0.020194669402036958
2015-01-26,0.011602792980409173
2015-01-29,-0.016984432557409893
2015-02-03,0.014010907047643186
2015-02-06,0.003459963755666585
2015-02-11,0.006691498680159725
2015-02-17,0.015250466217200956
2015-02-20,0.005363966850562052
2015-02-25,0.0018447503433498993
2015-03-02,0.0016995742208896964
2015-03-05,-0.007243634578467625
2015-03-10,-0.026383487000142473
2015-03-13,0.0041382348847068574
2015-03-18,0.022245252115435606
2015-03-23,0.002265381296661218
2015-03-26,-0.02278117779908249
2015-03-31,0.005635089999526224
2015-04-06,0.0067591913297789415
2015-04-09,0.005135183229362192
2015-04-14,0.002820629601051173
2015-04-17,-0.0073787352820100715
2015-04-22,0.012805855923485416
2015-04-27,0.0006643781250871997
2015-04-30,-0.011020473876177439
2015-05-05,0.002108345508563588
2015-05-08,0.012936319321083347
2015-05-13,-0.007589124761980625
2015-05-18,0.014558871593092255
2015-05-21,0.0018752553326821864
2015-05-27,-0.003754033855843298
2015-06-01,-0.005326644466757682
2015-06-04,-0.0068295398428906235
2015-06-09,-0.00802750223975928
2015-06-12,0.007455638717768311
2015-06-17,0.0027582635838032128
2015-06-22,0.01100651292757892
2015-06-25,-0.009626413414306714
2015-06-30,-0.019292775342164652
2015-07-06,0.0042172646661152394
2015-07-09,-0.008843273879899723
2015-07-14,0.027818398817971098
2015-07-17,0.008507534651276585
2015-07-22,-0.005238019437885306
2015-07-27,-0.02190601080337012
2015-07-30,0.01930091612652205
2015-08-04,-0.006853973383261906
2015-08-07,-0.006852990516936058
2015-08-12,0.004653487774444872
2015-08-17,0.007961755899723321
2015-08-20,-0.03194024080975266
2015-08-25,-0.0854215164053606
2015-08-28,0.06215977011117044
2015-09-02,-0.019611061290085715
2015-09-08,0.010284193776689992
2015-09-11,-0.003501135866020045
2015-09-16,0.01733394680072066
2015-09-21,-0.013572824001839545
