,OLMAR
2013-09-24,1.0
2013-09-27,0.9999681978336329
2013-10-02,0.9999148114832825
2013-10-07,0.9766383225259745
2013-10-10,0.9847567215467042
2013-10-15,0.9808191731023741
2013-10-18,1.0480360878832997
2013-10-23,1.0427959074438833
2013-10-28,1.0934902075136026
2013-10-31,1.0865844889842606
2013-11-05,1.0897951260504581
2013-11-08,1.1403085884237418
2013-11-13,1.1530579534037335
2013-11-18,1.1795323976064038
2013-11-21,1.1793432259014072
2013-11-26,1.189859909082209
2013-12-02,1.1864261177639823
2013-12-05,1.2144599062931511
2013-12-10,1.2245618334492403
2013-12-13,1.206337554555684
2013-12-18,1.2244003876266352
2013-12-23,1.2196171790498707
2013-12-27,1.2419315656334422
2014-01-02,1.2202892514823331
2014-01-07,1.1914104088468032
2014-01-10,1.1757470900615257
2014-01-15,1.2296214274221342
2014-01-21,1.2581997893495327
2014-01-24,1.1907577967099376
2014-01-29,1.1605852571777897
2014-02-03,1.1188163619168985
2014-02-06,1.1405017449650718
2014-02-11,1.2044364822559153
2014-02-14,1.1836330709675782
2014-02-20,1.158625537245075
2014-02-25,1.186845958904036
2014-02-28,1.1904150167786702
2014-03-05,1.204258724740715
2014-03-10,1.214949591482233
2014-03-13,1.1853684252638899
2014-03-18,1.200350476666348
2014-03-21,1.1862216867849924
2014-03-26,1.1236800657943065
2014-03-31,1.10064436026056
2014-04-03,1.0916459695246157
2014-04-08,1.070213597726522
2014-04-11,1.0200192036600142
2014-04-16,1.0141807436699077
2014-04-22,1.0242751135774346
2014-04-25,1.0222565593445498
2014-04-30,1.0181546699353625
2014-05-05,1.0379733855919835
2014-05-08,1.0354634060491736
2014-05-13,1.088897222625488
2014-05-16,1.0643911514947701
2014-05-21,1.085963861542112
2014-05-27,1.104578833451755
2014-05-30,1.0990559392844963
2014-06-04,1.0990559392844963
2014-06-09,1.1272413121133193
2014-06-12,1.1216051055527527
2014-06-17,1.1182034464114825
2014-06-20,1.1449022394410056
2014-06-25,1.1507866310407764
2014-06-30,1.1465725643438656
2014-07-03,1.160011151738395
2014-07-09,1.1386854966942153
2014-07-14,1.1384800336681473
2014-07-17,1.118808832067854
2014-07-22,1.1335999461129382
2014-07-25,1.0861970005463797
2014-07-30,1.075737429926651
2014-08-04,1.04618476382497
2014-08-07,1.0388466502792029
2014-08-12,1.0650971239323344
2014-08-15,1.0813483279786886
2014-08-20,1.089724878929343
2014-08-25,1.0842762545346962
2014-08-28,1.0842762545346962
2014-09-03,1.0960442998300346
2014-09-08,1.0841387276623857
2014-09-11,1.1179767058185601
2014-09-16,1.1030512778378108
2014-09-19,1.1150321520246922
2014-09-24,1.1001066369899515
2014-09-29,1.0768482566163542
2014-10-02,1.0576607181601037
2014-10-07,1.042542571529682
2014-10-10,0.9797460683418959
2014-10-15,1.0140516809239926
2014-10-20,1.0371672978200537
2014-10-23,1.0734191113035216
2014-10-28,1.08195016548499
2014-10-31,1.112667627502602
2014-11-05,1.0991747855136453
2014-11-10,1.1271016106484115
2014-11-13,1.1356985025296737
2014-11-18,1.1356774554487814
2014-11-21,1.1328772997979155
2014-11-26,1.1366958022627478
2014-12-02,1.1479141886667235
2014-12-05,1.1197742513297553
2014-12-10,1.0898550121744381
2014-12-15,1.0818104515026667
2014-12-18,1.1098625388420091
2014-12-23,1.1362227143634307
2014-12-29,1.1305416007916136
2015-01-02,1.1305416007916136
2015-01-07,1.1085507635889285
2015-01-12,1.1348629845544769
2015-01-15,1.0582319049588527
2015-01-21,1.0696586320556705
2015-01-26,1.0954255750397328
2015-01-29,1.041004526856198
2015-02-03,1.0256397181543704
2015-02-06,1.0456100891161213
2015-02-11,1.0481555097891648
2015-02-17,1.0803824794000108
2015-02-20,1.0749805670030106
2015-02-25,1.0749805670030106
2015-03-02,1.073088760046012
2015-03-05,1.0626917834098442
2015-03-10,1.04140552871294
2015-03-13,1.0109024883506048
2015-03-18,1.0095950148625707
2015-03-23,1.0197271074926781
2015-03-26,0.9831215608032564
2015-03-31,0.9763301900128613
2015-04-06,1.0108498297952953
2015-04-09,1.0133590511845851
2015-04-14,0.9981223390704181
2015-04-17,0.9851043216137395
2015-04-22,1.015504048932742
2015-04-27,0.9876569074982887
2015-04-30,0.9578534696062428
2015-05-05,0.9549801853043053
2015-05-08,0.9782493447178174
2015-05-13,0.9789937405160222
2015-05-18,0.993947409082782
2015-05-21,0.9807083859191252
2015-05-27,1.0253073163005784
2015-06-01,1.0076333053269597
2015-06-04,1.0072050510373358
2015-06-09,0.9691255249854931
2015-06-12,0.971296406020858
2015-06-17,0.9908338793515272
2015-06-22,0.99506261622549
2015-06-25,0.9892294570412545
2015-06-30,0.934751962699068
2015-07-06,0.9375406323236379
2015-07-09,0.8982103386292583
2015-07-14,0.9205643064983785
2015-07-17,0.9149759857232581
2015-07-22,0.888275030450193
2015-07-27,0.8802025212246356
2015-07-30,0.8881592889705274
2015-08-04,0.8276142357519873
2015-08-07,0.8377421801892241
2015-08-12,0.8357114950945121
2015-08-17,0.8496351315424521
2015-08-20,0.8095013490974126
2015-08-25,0.756642465910997
2015-08-28,0.817548850664611
2015-09-02,0.7899840260260842
2015-09-08,0.7884576562876209
2015-09-11,0.7800617053446813
2015-09-16,0.8028068773218833
2015-09-21,0.7987928429352739
2015-09-24,0.7788099691385266
2015-09-29,0.7728550518878238
2015-10-02,0.8258094698687823
2015-10-07,0.8246729179779511
2015-10-12,0.8307770910924565
2015-10-15,0.8266232056369942
2015-10-20,0.8266232056369942
2015-10-23,0.8266232056369942
