,SFFRL
2013-09-24,1.0
2013-09-27,0.9902672412608159
2013-10-02,0.998504433679173
2013-10-07,0.9867094344430106
2013-10-10,0.9776029354177681
2013-10-15,0.9853362809721545
2013-10-18,1.0245566035906897
2013-10-23,1.026261998611528
2013-10-28,1.0571944836327805
2013-10-31,1.0574762651743839
2013-11-05,1.0508469189392025
2013-11-08,1.0583464594497727
2013-11-13,1.076964445367109
2013-11-18,1.0773638198064543
2013-11-21,1.0707069358274015
2013-11-26,1.096898220239508
2013-12-02,1.1208001988590088
2013-12-05,1.1210706337534955
2013-12-10,1.1203642259401796
2013-12-13,1.0960377077523766
2013-12-18,1.1113405309440503
2013-12-23,1.1414607531639989
2013-12-27,1.1297155126648881
2014-01-02,1.1267128216441264
2014-01-07,1.1254836373336914
2014-01-10,1.1104606599409326
2014-01-15,1.1323213185801742
2014-01-21,1.138220261250044
2014-01-24,1.1048402656841112
2014-01-29,1.0679143399643094
2014-02-03,1.0333827158395437
2014-02-06,1.0546173061201913
2014-02-11,1.0915318334683313
2014-02-14,1.1294985454394653
2014-02-20,1.1297464780953215
2014-02-25,1.132809251503212
2014-02-28,1.1325225223486657
2014-03-05,1.15292400689498
2014-03-10,1.1375069430597688
2014-03-13,1.1265510613739236
2014-03-18,1.144389190994309
2014-03-21,1.1334112239167242
2014-03-26,1.1098147048410978
2014-03-31,1.097621579515119
2014-04-03,1.1127613431282477
2014-04-08,1.0939883592445132
2014-04-11,1.0610531700569432
2014-04-16,1.0809780490239989
2014-04-22,1.1023226461236801
2014-04-25,1.098544193210964
2014-04-30,1.1051665282511656
2014-05-05,1.122481164125391
2014-05-08,1.0872417560574648
2014-05-13,1.1068816771589627
2014-05-16,1.0937967798072863
2014-05-21,1.1154761226670955
2014-05-27,1.1462213148134743
2014-05-30,1.1554744830694619
2014-06-04,1.1530457392941915
2014-06-09,1.188601224101207
2014-06-12,1.1814457250494241
2014-06-17,1.1811207213307318
2014-06-20,1.1609974864771244
2014-06-25,1.1506717072552561
2014-06-30,1.1563490477537395
2014-07-03,1.1804372112697623
2014-07-09,1.181042598387165
2014-07-14,1.2188247091182118
2014-07-17,1.1998317905649858
2014-07-22,1.1987030723690733
2014-07-25,1.1555690485821966
2014-07-30,1.1618239567854436
2014-08-04,1.1318523735822807
2014-08-07,1.122614482257063
2014-08-12,1.1619981541897662
2014-08-15,1.1894983069224279
2014-08-20,1.2086413398259923
2014-08-25,1.2078156850270756
2014-08-28,1.2233063564958566
2014-09-03,1.2149691339277036
2014-09-08,1.2192226412695746
2014-09-11,1.2098343117660277
2014-09-16,1.1985122476353485
2014-09-19,1.2025676741232934
2014-09-24,1.1982183643460786
2014-09-29,1.1781772245795636
2014-10-02,1.1653434617044496
2014-10-07,1.1535590674149523
2014-10-10,1.1313158088319535
2014-10-15,1.125934994349095
2014-10-20,1.1378655827228494
2014-10-23,1.1739623818470588
2014-10-28,1.1722127857363693
2014-10-31,1.2015821824321726
2014-11-05,1.2045084057905266
2014-11-10,1.215026118346993
2014-11-13,1.23746166383245
2014-11-18,1.2699095209253755
2014-11-21,1.291088606454536
2014-11-26,1.311526923650566
2014-12-02,1.2794514750898778
2014-12-05,1.2724569212119408
2014-12-10,1.2330908147200008
2014-12-15,1.2052986135837482
2014-12-18,1.2246950362804034
2014-12-23,1.2444379594336845
2014-12-29,1.2554315975766428
2015-01-02,1.2251055403039057
2015-01-07,1.18571794821637
2015-01-12,1.1931652337719207
2015-01-15,1.1765954789266975
2015-01-21,1.2143680438938693
2015-01-26,1.2507527049674403
2015-01-29,1.2606903887599072
2015-02-03,1.3323247813073729
2015-02-06,1.3540468060010433
2015-02-11,1.3867076513543544
2015-02-17,1.4310420858143202
2015-02-20,1.4465067049661369
2015-02-25,1.4418556618224896
2015-03-02,1.45310006919593
2015-03-05,1.451311206023141
2015-03-10,1.424103236900166
2015-03-13,1.415709633596763
2015-03-18,1.4442419539775446
2015-03-23,1.435046819330848
2015-03-26,1.3775116480024177
2015-03-31,1.3837490823939997
2015-04-06,1.4165905284440001
2015-04-09,1.4405151412923947
2015-04-14,1.43781649443813
2015-04-17,1.4166060828195772
2015-04-22,1.4501961728960095
2015-04-27,1.5173522615774746
2015-04-30,1.4689832843103396
2015-05-05,1.4670120985658952
2015-05-08,1.4640187689667694
2015-05-13,1.4528713727175513
2015-05-18,1.4744518372031585
2015-05-21,1.4797756553619703
2015-05-27,1.4965208706561344
2015-06-01,1.5018624188370642
2015-06-04,1.4909181918679355
2015-06-09,1.4717469068291598
2015-06-12,1.4590006818216505
2015-06-17,1.467005960016904
2015-06-22,1.4825972124969882
2015-06-25,1.4722160006218343
2015-06-30,1.4327935274866805
2015-07-06,1.4392294346461163
2015-07-09,1.3973193933726462
2015-07-14,1.4629184143532692
2015-07-17,1.4983168717777202
2015-07-22,1.4699985174856405
2015-07-27,1.4977389616378254
2015-07-30,1.5191587851804587
2015-08-04,1.4908884184477718
2015-08-07,1.551861426228998
2015-08-12,1.5668631390529129
2015-08-17,1.5746399763623824
2015-08-20,1.5093371649735103
2015-08-25,1.3783645970427063
2015-08-28,1.5264976222954614
2015-09-02,1.5010646237484784
2015-09-08,1.5168884108750869
2015-09-11,1.5359674609905072
2015-09-16,1.5544715143791001
2015-09-21,1.5751238092659419
2015-09-24,1.5573462929148043
2015-09-29,1.504159860331661
2015-10-02,1.5692593234157257
2015-10-07,1.607346480618464
2015-10-12,1.6250355400540264
2015-10-15,1.6562536555604608
2015-10-20,1.6705743044536008
2015-10-23,1.751193920344859
