,MPT
2013-09-24,1.0
2013-09-27,0.9999650176169961
2013-10-02,1.003921690478204
2013-10-07,0.9918239971475462
2013-10-10,0.999633806921003
2013-10-15,0.9946752674106178
2013-10-18,0.9948576965607174
2013-10-23,0.9948360714410381
2013-10-28,0.9948686633006639
2013-10-31,0.9948517843636803
2013-11-05,0.9948514829438204
2013-11-08,0.9948983775651252
2013-11-13,0.9949236821406509
2013-11-18,0.9949427893436803
2013-11-21,0.9949580669061943
2013-11-26,0.9949735720219153
2013-12-02,0.9950012040423839
2013-12-05,0.9949857849413113
2013-12-10,0.9950141906578324
2013-12-13,0.9949585077681141
2013-12-18,0.9950032647171859
2013-12-23,0.995047339814442
2013-12-27,0.9950480961149539
2014-01-02,0.9950429488942742
2014-01-07,0.9950558871985767
2014-01-10,0.9950497238737505
2014-01-15,0.9951002101151346
2014-01-21,0.995069392080302
2014-01-24,0.9949925646127111
2014-01-29,0.9949424547849103
2014-02-03,0.9948963028972482
2014-02-06,0.9949240382879663
2014-02-11,0.9949821743995978
2014-02-14,0.9950132167161778
2014-02-20,0.9950082179448748
2014-02-25,0.9950057295110888
2014-02-28,0.9950157923733123
2014-03-05,0.9950296259758341
2014-03-10,0.9950301755932615
2014-03-13,0.9950038124297542
2014-03-18,0.9950368433584837
2014-03-21,0.9950504835895014
2014-03-26,0.9950335064864837
2014-03-31,0.9950431832238418
2014-04-03,0.9950639182205274
2014-04-08,0.9950308075656663
2014-04-11,0.9949853630144435
2014-04-16,0.9950305955394098
2014-04-22,0.9950375218180485
2014-04-25,0.995032299990561
2014-04-30,0.9950510835118149
2014-05-05,0.995047069196689
2014-05-08,0.9950333518546743
2014-05-13,0.9950599621194731
2014-05-16,0.9950305139976202
2014-05-21,0.995057940365272
2014-05-27,0.9950949267697359
2014-05-30,0.995112000347801
2014-06-04,0.9951100942818198
2014-06-09,0.9951539431990809
2014-06-12,0.9951322738335044
2014-06-17,0.9951512830163215
2014-06-20,0.9951528238832348
2014-06-25,0.9951553308473832
2014-06-30,0.9951555166652291
2014-07-03,0.9951757928434828
2014-07-09,0.9951626108584349
2014-07-14,0.9951872764502836
2014-07-17,0.9952027048101928
2014-07-22,0.9952261725016621
2014-07-25,0.9952044105156562
2014-07-30,0.9952037173181564
2014-08-04,0.9951655857869867
2014-08-07,0.9951442014347575
2014-08-12,0.9951730664363634
2014-08-15,0.9952074079973138
2014-08-20,0.995237516079235
2014-08-25,0.9952534779782033
2014-08-28,0.9952502258623033
2014-09-03,0.9952518741401338
2014-09-08,0.9952703457245806
2014-09-11,0.9952689636711975
2014-09-16,0.9952659247177089
2014-09-19,0.9952866691687865
2014-09-24,0.995276276859353
2014-09-29,0.9952519823476863
2014-10-02,0.9952218348194372
2014-10-07,0.9952108379308621
2014-10-10,0.9951746028894329
2014-10-15,0.9951325435362529
2014-10-20,0.9951614123245454
2014-10-23,0.9952128118288711
2014-10-28,0.9952453651792234
2014-10-31,0.9952762114558574
2014-11-05,0.9952876655128593
2014-11-10,0.9952965659128948
2014-11-13,0.9953090172523511
2014-11-18,0.9953285571103672
2014-11-21,0.9953418213974539
2014-11-26,0.99536179585801
2014-12-02,0.9953505124269766
2014-12-05,0.995361443374164
2014-12-10,0.9953109796084225
2014-12-15,0.9952739607361238
2014-12-18,0.9953164325079377
2014-12-23,0.9953467717957413
2014-12-29,0.9953510740972498
2015-01-02,0.9953210975380329
2015-01-07,0.9952653364864469
2015-01-12,0.9952674544168966
2015-01-15,0.9952292893307467
2015-01-21,0.9952662441195592
2015-01-26,0.9953026290270124
2015-01-29,0.995277474889554
2015-02-03,0.9953151408433116
2015-02-06,0.9953343440008952
2015-02-11,0.9953523546588511
2015-02-17,0.9954012823149536
2015-02-20,0.995414327001771
2015-02-25,0.9954119165844514
2015-03-02,0.9954315858283201
2015-03-05,0.9954258936867689
2015-03-10,0.9953754038955654
2015-03-13,0.9953776049706016
2015-03-18,0.9954072125915833
2015-03-23,0.9953969598367779
2015-03-26,0.9953473728396408
2015-03-31,0.9953463074891531
2015-04-06,0.9953524215130213
2015-04-09,0.9953689259153881
2015-04-14,0.995372612392127
2015-04-17,0.9953634505452593
2015-04-22,0.9953924719927789
2015-04-27,0.9954342359378474
2015-04-30,0.9954206982926194
2015-05-05,0.9954209151024189
2015-05-08,0.995427234078937
2015-05-13,0.9954239103574204
2015-05-18,0.9954320284549913
2015-05-21,0.9954346780986417
2015-05-27,0.9954349208637698
2015-06-01,0.9954295239129609
2015-06-04,0.9954177046271694
2015-06-09,0.9954043860368008
2015-06-12,0.9954158427029092
2015-06-17,0.9954216620899007
2015-06-22,0.9954428295231035
2015-06-25,0.9954246492571053
2015-06-30,0.9953779062967576
2015-07-06,0.9953830001109085
2015-07-09,0.9953557165092113
2015-07-14,0.995425324147746
2015-07-17,0.9954408517274485
2015-07-22,0.9954362718052797
2015-07-27,0.9954264781225848
2015-07-30,0.9954373281009913
2015-08-04,0.99543415171858
2015-08-07,0.9954421863610252
2015-08-12,0.9954482500461825
2015-08-17,0.9954617574324988
2015-08-20,0.9953938803179101
2015-08-25,0.9952370556927215
2015-08-28,0.9952788508434782
2015-09-02,0.9952692931307198
2015-09-08,0.9952760665233509
2015-09-11,0.9952771060675134
2015-09-16,0.9952863129262218
2015-09-21,0.9952802121173362
2015-09-24,0.9952697597300124
2015-09-29,0.9952623753928398
2015-10-02,0.9952802881743147
2015-10-07,0.9952947215255393
2015-10-12,0.9952978555567177
2015-10-15,0.9953040760518843
2015-10-20,0.9953079680862977
2015-10-23,0.9953320498016913
