,UCRP
2013-09-24,1.0
2013-09-27,0.9999650176169961
2013-10-02,1.003921690478204
2013-10-07,0.9918239971475462
2013-10-10,0.999633806921003
2013-10-15,1.005391883978379
2013-10-18,1.0506448421625705
2013-10-23,1.0497982015693048
2013-10-28,1.0661970938687277
2013-10-31,1.062891798834362
2013-11-05,1.0633405482661595
2013-11-08,1.0776706683110047
2013-11-13,1.08898109248846
2013-11-18,1.097109659583928
2013-11-21,1.1026961986166626
2013-11-26,1.1114846375877976
2013-12-02,1.1201879134058446
2013-12-05,1.1134382916615064
2013-12-10,1.124929499791302
2013-12-13,1.1051062044429334
2013-12-18,1.124660657965669
2013-12-23,1.142356683572116
2013-12-27,1.1431280311373588
2014-01-02,1.1417992824282428
2014-01-07,1.149124899543519
2014-01-10,1.1462124207211508
2014-01-15,1.1648794562238263
2014-01-21,1.1535182755618452
2014-01-24,1.1200362987461485
2014-01-29,1.0989617297714633
2014-02-03,1.0724076650084367
2014-02-06,1.0917517578071698
2014-02-11,1.125796517518986
2014-02-14,1.1435853181499551
2014-02-20,1.1391666231789999
2014-02-25,1.138766425533628
2014-02-28,1.1441210549453615
2014-03-05,1.1548316331326685
2014-03-10,1.1539125188107886
2014-03-13,1.1347332560494265
2014-03-18,1.155050289254914
2014-03-21,1.1616434001065488
2014-03-26,1.148333576731483
2014-03-31,1.148606321949559
2014-04-03,1.162892676900244
2014-04-08,1.1414254685778402
2014-04-11,1.1090290555122644
2014-04-16,1.1392374412735513
2014-04-22,1.143501788887878
2014-04-25,1.1347328796659344
2014-04-30,1.1452432967401502
2014-05-05,1.1437301811165375
2014-05-08,1.131057470890181
2014-05-13,1.1501444185621155
2014-05-16,1.1298660427165317
2014-05-21,1.1484939630589346
2014-05-27,1.1737915763725315
2014-05-30,1.1835320316200046
2014-06-04,1.1801904700934192
2014-06-09,1.2125106769626322
2014-06-12,1.1979350863326284
2014-06-17,1.2076687347979218
2014-06-20,1.2075585827584723
2014-06-25,1.2097387833886437
2014-06-30,1.209001772288663
2014-07-03,1.2249285169714765
2014-07-09,1.2143563516838365
2014-07-14,1.2359627759016765
2014-07-17,1.2439654509626654
2014-07-22,1.2616629152494319
2014-07-25,1.2400696924343495
2014-07-30,1.2392914730340803
2014-08-04,1.2113874537395701
2014-08-07,1.1978513658555991
2014-08-12,1.21785320224544
2014-08-15,1.2419029827304753
2014-08-20,1.2633002281858756
2014-08-25,1.2744742225936525
2014-08-28,1.2729392957421455
2014-09-03,1.2753304926358149
2014-09-08,1.2880584655727774
2014-09-11,1.283335339046368
2014-09-16,1.2805069974851713
2014-09-19,1.296640451440638
2014-09-24,1.2891747133863924
2014-09-29,1.2718123432718416
2014-10-02,1.2500000496626273
2014-10-07,1.2432404892664033
2014-10-10,1.214760159552003
2014-10-15,1.189953364959195
2014-10-20,1.2070432868621184
2014-10-23,1.238899071099452
2014-10-28,1.2580285036218737
2014-10-31,1.2809182168723308
2014-11-05,1.2862615631779357
2014-11-10,1.293641379354446
2014-11-13,1.3016109546003967
2014-11-18,1.315333723713483
2014-11-21,1.3264748146613639
2014-11-26,1.3415167611835113
2014-12-02,1.3335284029442398
2014-12-05,1.3385055207067962
2014-12-10,1.3005673478921533
2014-12-15,1.2738848895087425
2014-12-18,1.3024791129776934
2014-12-23,1.326941383163495
2014-12-29,1.3311031750831697
2015-01-02,1.3085861877326963
2015-01-07,1.2666568280093196
2015-01-12,1.268064592138162
2015-01-15,1.2398302585865968
2015-01-21,1.2669472592560398
2015-01-26,1.2932005422739101
2015-01-29,1.2756276707801593
2015-02-03,1.3074504474467143
2015-02-06,1.3232855620265866
2015-02-11,1.3367199127549088
2015-02-17,1.3761015959351544
2015-02-20,1.3853019670957678
2015-02-25,1.384931154824898
2015-03-02,1.4017203375805027
2015-03-05,1.3984379555660849
2015-03-10,1.3569470179960421
2015-03-13,1.3603971160259634
2015-03-18,1.3830456048816255
2015-03-23,1.3749301212394964
2015-03-26,1.3333560272990626
2015-03-31,1.3410313591868326
2015-04-06,1.3508871472103674
2015-04-09,1.365421493327563
2015-04-14,1.369109398127331
2015-04-17,1.3622725001581295
2015-04-22,1.3852579902940692
2015-04-27,1.421416173116013
2015-04-30,1.4050144459584186
2015-05-05,1.4051003834435014
2015-05-08,1.4163655132748814
2015-05-13,1.409185571079145
2015-05-18,1.4263675940703506
2015-05-21,1.4325300447066214
2015-05-27,1.4358766035292723
2015-06-01,1.432218248900602
2015-06-04,1.423295201845892
2015-06-09,1.4124433229456197
2015-06-12,1.4201858141608008
2015-06-17,1.4245703963874423
2015-06-22,1.441477536060594
2015-06-25,1.4274674298067271
