Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
25	0.44135198	0.28124338	0.86355984	-0.21884556	500.0	0.0055705514	0.07891332	0.28800243	-0.19500288	130000	3.1656338e-08	0.008737653	-0.017100953	-0.0007055821	0.86627835	0.015848147	0.185	21.0	150.81717491149902
26	0.2766132	0.17549406	0.4886779	-0.13917278	500.0	0.016946986	0.076919004	0.35114002	-0.16152547	135000	-3.3864378e-08	0.0046454254	-0.017371882	-0.0006776345	0.86393857	0.01755377	0.1896	25.0	155.9598422050476
27	0.5431315	0.26036426	0.8621375	-0.10653732	500.0	-0.0042009735	0.073131	0.29244602	-0.19027026	140000	-3.6925076e-08	0.008616536	-0.020870201	-0.002564563	0.8578342	0.0154951615	0.1934	45.0	161.5039186477661
28	0.55032295	0.1837814	0.91365176	0.24603397	500.0	0.043687638	0.08076419	0.3495731	-0.13896951	145000	2.2624434e-08	0.0055517345	0.00016944706	-0.0006644316	0.85552365	0.02158914	0.2574	1.0	166.16321277618408
29	0.43339205	0.18703984	0.72215164	0.15530321	500.0	0.030485617	0.0870773	0.39638126	-0.14160436	150000	-4.6706198e-08	0.005960239	0.0076127877	-0.0011304324	0.85553646	0.019041477	0.209	1.0	170.80604243278503
30	0.68230337	0.317545	1.1474067	0.14244357	500.0	0.020055383	0.075166695	0.32762837	-0.16063628	155000	-5.5509805e-08	0.009379813	0.0064747822	-0.0024843463	0.8555276	0.015607769	0.1796	1.0	175.57906198501587
31	0.44670263	0.3120632	0.9036352	-0.13888021	500.0	0.05457499	0.08983822	0.4133331	-0.1076614	160000	1.1301041e-08	0.0097987745	0.006151922	-0.0023681722	0.8554968	0.01624712	0.1984	1.0	180.18076729774475
32	0.7008559	0.25683528	1.112843	0.41733372	500.0	0.018023456	0.08230206	0.3439988	-0.17512462	165000	3.00169e-08	0.008667294	0.0005103542	-0.0016273456	0.85547394	0.016741477	0.2314	4.0	184.8875856399536
33	0.66400665	0.23207034	1.0135279	0.1727886	500.0	0.05506984	0.08582831	0.4045985	-0.12996006	170000	-2.4875998e-08	0.006809493	0.014147628	-0.00037223333	0.855108	0.024933342	0.2674	1.0	189.54388189315796
34	0.7229869	0.21615717	1.0088463	0.25044444	500.0	0.053822365	0.08684505	0.40773177	-0.114781275	175000	-2.1919607e-08	0.0070078042	0.0063103256	-0.00018750224	0.8549741	0.017788477	0.1772	1.0	194.2627568244934
