Date,SPY,TLT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-06-07,248.6649169921875,101.08506774902344,52.830322265625,56.587528228759766,24.53465461730957,67.68767547607422,66.96575927734375,41.80672836303711,39.22642135620117,75.4061050415039,102.70960998535156
2018-06-08,249.4001007080078,100.78148651123047,52.97836685180664,56.477386474609375,24.569650650024414,67.9097900390625,66.85383605957031,42.32297134399414,39.21031951904297,75.84313201904297,102.92495727539062
2018-06-11,249.73184204101562,100.59601593017578,53.0567512512207,56.771141052246094,24.517152786254883,68.04303741455078,66.92845916748047,42.67267990112305,39.129783630371094,75.98578643798828,103.3369369506836
2018-06-12,250.05455017089844,100.62132263183594,53.126426696777344,56.337825775146484,24.455907821655273,67.9719467163086,67.2548828125,42.75593185424805,39.58076095581055,75.94121551513672,103.83319854736328
2018-06-13,249.25672912597656,100.57073211669922,52.5516242980957,56.124847412109375,24.368406295776367,67.43001556396484,66.9097900390625,42.622718811035156,39.476070404052734,75.95904541015625,103.99239349365234
2018-06-14,249.8842315673828,101.40544128417969,52.6300048828125,56.044063568115234,24.140907287597656,67.17240905761719,67.38542938232422,42.69765090942383,39.96730422973633,76.3514633178711,105.07856750488281
2018-06-15,249.56544494628906,101.49817657470703,52.26251220703125,54.84033203125,24.140026092529297,67.00470733642578,67.12804412841797,43.246421813964844,40.25167465209961,76.50004577636719,105.25133514404297
2018-06-18,249.05213928222656,101.40544128417969,52.13125991821289,55.38747024536133,24.096094131469727,66.72818756103516,67.20293426513672,42.617103576660156,40.381683349609375,75.76602172851562,105.07295227050781
2018-06-19,248.09756469726562,101.99566650390625,51.17753601074219,55.26177978515625,24.034578323364258,65.31890869140625,66.85664367675781,42.843658447265625,40.77981185913086,75.96295166015625,104.94149780273438
2018-06-20,248.5207977294922,101.10192108154297,51.01129150390625,55.50579833984375,23.973060607910156,65.36347198486328,66.99702453613281,42.885616302490234,40.81230926513672,76.12410736083984,105.4390869140625
2018-06-21,246.96287536621094,101.63311004638672,50.468807220458984,54.47803497314453,23.90275764465332,64.5428695678711,66.48221588134766,42.96952438354492,40.950435638427734,75.68549346923828,104.68804168701172
2018-06-22,247.4131622314453,101.62467193603516,51.20378112792969,55.564945220947266,23.78852081298828,64.76587677001953,66.26698303222656,43.32194137573242,41.234825134277344,76.025634765625,104.50965118408203
2018-06-25,244.04519653320312,101.85234069824219,50.40755844116211,54.44845199584961,23.53367042541504,63.94525146484375,64.8910903930664,43.54010009765625,41.91732406616211,75.32740783691406,102.23770141601562
2018-06-26,244.5854949951172,101.99566650390625,50.60005187988281,55.13608169555664,23.454586029052734,64.18607330322266,65.15316772460938,43.35550308227539,41.9660758972168,75.09467315673828,102.969970703125
2018-06-27,242.5592803955078,102.95684814453125,50.44256591796875,55.875484466552734,23.164588928222656,63.66873550415039,64.26399230957031,43.26319885253906,42.16920852661133,74.4591064453125,101.63684844970703
2018-06-28,243.9460906982422,102.98210144042969,50.63506317138672,55.80152893066406,23.366703033447266,63.75796127319336,65.05021667480469,43.26319885253906,42.152957916259766,74.55754852294922,102.43482971191406
2018-06-29,244.29734802246094,102.62803649902344,50.8100471496582,56.149044036865234,23.366703033447266,63.89174270629883,65.0221176147461,43.23802947998047,42.217960357666016,74.7097396850586,102.61324310302734
2018-07-02,244.8196258544922,102.5477066040039,50.53880310058594,55.3209342956543,23.480947494506836,64.03445434570312,65.6024169921875,42.986305236816406,42.51858901977539,74.9424819946289,102.75406646728516
