Date,SPY
2013-09-04,135.19017028808594
2013-09-05,135.3614044189453
2013-09-06,135.42672729492188
2013-09-09,136.72352600097656
2013-09-10,137.73484802246094
2013-09-11,138.1671600341797
2013-09-12,137.80014038085938
2013-09-13,138.110107421875
2013-09-16,138.90940856933594
2013-09-17,139.52931213378906
2013-09-18,141.1442108154297
2013-09-19,140.90769958496094
2013-09-20,139.9224853515625
2013-09-23,139.27500915527344
2013-09-24,138.94717407226562
2013-09-25,138.54559326171875
2013-09-26,139.0782928466797
2013-09-27,138.4390106201172
2013-09-30,137.70138549804688
2013-10-01,138.79148864746094
2013-10-02,138.6603240966797
2013-10-03,137.38174438476562
2013-10-04,138.42262268066406
2013-10-07,137.22601318359375
2013-10-08,135.62779235839844
2013-10-09,135.72621154785156
2013-10-10,138.652099609375
2013-10-11,139.54551696777344
2013-10-14,140.1028594970703
2013-10-15,139.08657836914062
2013-10-16,141.0289764404297
2013-10-17,141.97154235839844
2013-10-18,142.93043518066406
2013-10-21,142.9386444091797
2013-10-22,143.7664031982422
2013-10-23,143.0780029296875
2013-10-24,143.55335998535156
2013-10-25,144.2090606689453
2013-10-28,144.4385223388672
2013-10-29,145.20896911621094
2013-10-30,144.48765563964844
2013-10-31,144.0779266357422
2013-11-01,144.42214965820312
2013-11-04,144.9302978515625
2013-11-05,144.47132873535156
2013-11-06,145.20896911621094
2013-11-07,143.37306213378906
2013-11-08,145.30735778808594
2013-11-11,145.33187866210938
2013-11-12,145.036865234375
2013-11-13,146.20066833496094
2013-11-14,146.93016052246094
2013-11-15,147.5694122314453
2013-11-18,147.05313110351562
2013-11-19,146.7333984375
2013-11-20,146.27442932128906
2013-11-21,147.45468139648438
2013-11-22,148.19229125976562
2013-11-25,148.04483032226562
2013-11-26,148.085693359375
2013-11-27,148.44635009765625
2013-11-29,148.3480224609375
2013-12-02,147.96279907226562
2013-12-03,147.32347106933594
2013-12-04,147.30714416503906
2013-12-05,146.65965270996094
2013-12-06,148.29884338378906
2013-12-09,148.6758575439453
2013-12-10,148.1431427001953
2013-12-11,146.47938537597656
2013-12-12,145.9958038330078
2013-12-13,145.97938537597656
2013-12-16,146.88914489746094
2013-12-17,146.4219512939453
2013-12-18,148.92178344726562
2013-12-19,148.74961853027344
2013-12-20,149.61492919921875
2013-12-23,150.41424560546875
2013-12-24,150.74388122558594
2013-12-26,151.51023864746094
2013-12-27,151.50201416015625
2013-12-30,151.47723388671875
2013-12-31,152.1942138671875
2014-01-02,150.735595703125
2014-01-03,150.71087646484375
2014-01-06,150.27407836914062
2014-01-07,151.197021484375
2014-01-08,151.23004150390625
2014-01-09,151.32894897460938
2014-01-10,151.74095153808594
2014-01-13,149.72203063964844
2014-01-14,151.35366821289062
2014-01-15,152.16944885253906
2014-01-16,151.97169494628906
2014-01-17,151.32894897460938
2014-01-21,151.77394104003906
2014-01-22,151.87283325195312
2014-01-23,150.62847900390625
2014-01-24,147.41470336914062
2014-01-27,146.6895294189453
2014-01-28,147.56300354003906
2014-01-29,146.14561462402344
2014-01-30,147.69485473632812
2014-01-31,146.8296356201172
2014-02-03,143.52513122558594
2014-02-04,144.530517578125
2014-02-05,144.34922790527344
2014-02-06,146.25274658203125
2014-02-07,148.065673828125
2014-02-10,148.33763122558594
2014-02-11,149.9610137939453
2014-02-12,150.03518676757812
2014-02-13,150.80978393554688
2014-02-14,151.64205932617188
2014-02-18,151.82337951660156
2014-02-19,150.81800842285156
2014-02-20,151.7080078125
2014-02-21,151.53492736816406
2014-02-24,152.37545776367188
2014-02-25,152.3177947998047
2014-02-26,152.32606506347656
2014-02-27,153.1253662109375
2014-02-28,153.5126495361328
2014-03-03,152.43313598632812
2014-03-04,154.57571411132812
2014-03-05,154.71575927734375
2014-03-06,155.0701141357422
2014-03-07,155.13601684570312
2014-03-10,155.05368041992188
2014-03-11,154.28724670410156
2014-03-12,154.32847595214844
2014-03-13,152.59796142578125
2014-03-14,152.16944885253906
2014-03-17,153.5456085205078
2014-03-18,154.6416015625
2014-03-19,153.81759643554688
2014-03-20,154.71575927734375
2014-03-21,154.11572265625
2014-03-24,153.47833251953125
2014-03-25,154.2067413330078
2014-03-26,153.09765625
2014-03-27,152.7748565673828
2014-03-28,153.52804565429688
2014-03-31,154.78614807128906
2014-04-01,155.81246948242188
2014-04-02,156.33396911621094
2014-04-03,156.1269989013672
2014-04-04,154.28125
2014-04-07,152.57618713378906
2014-04-08,153.2052459716797
2014-04-09,154.85232543945312
2014-04-10,151.59954833984375
2014-04-11,150.23382568359375
2014-04-14,151.41744995117188
2014-04-15,152.46034240722656
2014-04-16,154.05772399902344
2014-04-17,154.27297973632812
2014-04-21,154.81094360351562
2014-04-22,155.51454162597656
2014-04-23,155.1503448486328
2014-04-24,155.46487426757812
2014-04-25,154.19020080566406
2014-04-28,154.67849731445312
2014-04-29,155.39859008789062
2014-04-30,155.86215209960938
2014-05-01,155.87869262695312
2014-05-02,155.65525817871094
2014-05-05,155.95318603515625
2014-05-06,154.5958251953125
2014-05-07,155.50619506835938
2014-05-08,155.34066772460938
2014-05-09,155.5724334716797
2014-05-12,157.08705139160156
2014-05-13,157.22779846191406
2014-05-14,156.48289489746094
2014-05-15,155.10891723632812
2014-05-16,155.6469268798828
2014-05-19,156.21807861328125
2014-05-20,155.2330780029297
2014-05-21,156.5408477783203
2014-05-22,156.92161560058594
2014-05-23,157.55056762695312
2014-05-27,158.51901245117188
2014-05-28,158.4031219482422
2014-05-29,159.22254943847656
2014-05-30,159.47915649414062
2014-06-02,159.66122436523438
