,OLMAR
2015-06-19,0.9975
2015-06-24,0.9953534894374338
2015-06-29,0.9661038108881181
2015-07-02,0.9763282614013762
2015-07-08,0.9560767746742873
2015-07-13,0.9806118269376646
2015-07-16,0.9862190926819896
2015-07-21,0.947298071633025
2015-07-24,0.9255286869784898
2015-07-29,0.9520790902779754
2015-08-03,0.9168570408368579
2015-08-06,0.8952593445861365
2015-08-11,0.8825065840101078
2015-08-14,0.9001934281210995
2015-08-19,0.887734745282511
2015-08-24,0.8175783454988634
2015-08-27,0.897386013047746
2015-09-01,0.8629033073124535
2015-09-04,0.8636403035672667
2015-09-10,0.8807238031054243
2015-09-15,0.8922782371778933
2015-09-18,0.8878168459920038
2015-09-23,0.8805601811689621
2015-09-28,0.8682298665874691
2015-10-01,0.8924416395841365
2015-10-06,0.9065311087981751
2015-10-09,0.9085622727415237
2015-10-14,0.9040194613778161
2015-10-19,0.9329363299298706
2015-10-22,0.9329363299298706
2015-10-27,0.9329363299298706
2015-10-30,0.9329363299298706
2015-11-04,0.9282716482802212
2015-11-09,1.0350063292943175
2015-11-12,1.0055233903788596
2015-11-17,1.0079068532301407
2015-11-20,1.0523535152819377
2015-11-25,1.047091747705528
2015-12-01,1.0572683642475804
2015-12-04,1.0572683642475804
2015-12-09,1.0519820224263425
2015-12-14,1.0260657366632282
2015-12-17,1.0556991576841102
2015-12-22,1.0387467487471695
2015-12-28,1.0347750415105488
2015-12-31,1.0196631798296156
2016-01-06,0.9754900456853716
2016-01-11,0.9496967133105537
2016-01-14,0.934828947324516
2016-01-20,0.8915470518003079
2016-01-25,0.8708492442257805
2016-01-28,0.88599387406594
2016-02-02,0.8873197752708598
2016-02-05,0.8070093801064242
2016-02-10,0.7882858238993865
2016-02-16,0.837026127879571
2016-02-19,0.8550271688416141
2016-02-24,0.8539286861251685
2016-02-29,0.852941162785162
2016-03-03,0.900954355120386
2016-03-08,0.900954355120386
2016-03-11,0.900954355120386
2016-03-16,0.900954355120386
2016-03-21,0.8964495833447841
2016-03-24,0.938612148791992
2016-03-30,0.9338135181744304
2016-04-04,0.9262796681048944
2016-04-07,0.9264629591584291
2016-04-12,0.9591433821404176
2016-04-15,0.9812917874404431
2016-04-20,0.9931446443770963
2016-04-25,0.9692694953327038
2016-04-28,0.9235216863944904
2016-05-03,0.9269302342194246
2016-05-06,0.9084931176521434
2016-05-11,0.9064354865616852
2016-05-16,0.9152597844667466
2016-05-19,0.9509941566310672
2016-05-24,0.9466876559217619
2016-05-27,0.9594586580251523
2016-06-02,0.9418614051268493
2016-06-07,0.9746825092826092
2016-06-10,0.9395819533927561
2016-06-15,0.8991307030075131
2016-06-20,0.9114587031249229
2016-06-23,0.9258394744168227
2016-06-28,0.8971495299543977
2016-07-01,0.9035505688502671
2016-07-07,0.8963964665548838
2016-07-12,0.923010354646543
2016-07-15,0.923010354646543
2016-07-20,0.923010354646543
2016-07-25,0.9183953028733103
2016-07-28,0.9795175577593286
2016-08-02,0.9687335680811469
2016-08-05,1.0250999357759336
2016-08-10,1.0326728197241803
2016-08-15,1.0388171183286636
2016-08-18,1.0351657400568581
2016-08-23,1.0464786930062926
2016-08-26,1.0501913625119415
2016-08-31,1.0367325326791494
2016-09-06,1.0597580859281341
2016-09-09,1.0382191564237586
2016-09-14,1.0483013249790991
2016-09-19,1.0368087696106805
2016-09-22,1.0302737871462624
2016-09-27,1.0160771011029213
2016-09-30,0.997824219047174
2016-10-05,1.0138236588738196
2016-10-10,1.0235528956979614
2016-10-13,1.0032872308192333
2016-10-18,1.0175182499256987
2016-10-21,1.0140898736000914
2016-10-26,1.00745429263486
2016-10-31,1.0009817161585477
2016-11-03,0.9720987133082105
2016-11-08,0.9933665014425774
2016-11-11,0.9649934819256801
2016-11-16,0.974760807462282
2016-11-21,1.0134253140316376
2016-11-25,1.0134253140316376
2016-11-30,1.0083581874614793
2016-12-05,1.0150663347383921
2016-12-08,1.0436229596722515
2016-12-13,1.0453867281627363
2016-12-16,1.1455790826801238
2016-12-21,1.15915030274059
2016-12-27,1.155566947885235
2016-12-30,1.147499875589128
2017-01-05,1.1974581018800203
2017-01-10,1.2468635471459801
2017-01-13,1.2700608466304206
2017-01-19,1.2848477292709823
2017-01-24,1.286661845373015
2017-01-27,1.295052132344959
2017-02-01,1.2710150939929168
2017-02-06,1.304252440952233
2017-02-09,1.3197767334159074
2017-02-14,1.3305831963190935
2017-02-17,1.3116237924369734
2017-02-23,1.2307346428710824
2017-02-28,1.2428595040158512
2017-03-03,1.205505133822237
2017-03-08,1.207097287305899
2017-03-13,1.241154062688158
2017-03-16,1.2404480592395413
2017-03-21,1.2307334517864383
2017-03-24,1.2313695993321625
2017-03-29,1.253063290887129
2017-04-03,1.2490117120770066
2017-04-06,1.2400791062392251
2017-04-11,1.207587950617262
2017-04-17,1.2151427596621682
2017-04-20,1.2331209719636904
2017-04-25,1.2512651369941508
2017-04-28,1.2512651369941508
2017-05-03,1.24500881130918
2017-05-08,1.2525590768277235
2017-05-11,1.534071028535743
2017-05-16,1.5319605525620652
2017-05-19,1.5185767514898398
2017-05-24,1.5275587084612319
2017-05-30,1.4932958169555903
2017-06-02,1.4708696819214597
2017-06-07,1.4860064331435028
2017-06-12,1.5353464682067397
2017-06-15,1.5244642299583175
2017-06-20,1.5320712314523075
2017-06-23,1.5384975629227808
2017-06-28,1.538947547585808
2017-07-03,1.4981204391084852
2017-07-07,1.5780101603643237
2017-07-12,1.738622369889592
2017-07-17,1.729929258040144
2017-07-20,1.7266281318376278
2017-07-25,1.7612296451155673
