,BestMarkowitz
2015-06-19,0.9975
2015-06-24,0.9582750383058413
2015-06-29,0.9176817608030872
2015-07-02,0.9313648881932423
2015-07-08,0.8962448623516075
2015-07-13,0.9067352626590635
2015-07-16,0.9208744956251563
2015-07-21,0.9026303271336975
2015-07-24,0.8857544721917726
2015-07-29,0.9108402043407501
2015-08-03,0.9254355390764619
2015-08-06,0.932733206021767
2015-08-11,1.079142657933679
2015-08-14,1.0736694081978877
2015-08-19,1.0529906347786566
2015-08-24,0.9485618103060683
2015-08-27,1.0365018703373696
2015-09-01,0.9874936075526466
2015-09-04,0.9961960093417251
2015-09-10,1.034211764182087
2015-09-15,1.0507005255427115
2015-09-18,1.0667312636388186
2015-09-23,1.0534486511606838
2015-09-28,1.0671892815163309
2015-10-01,1.1070371203073681
2015-10-06,1.1794044580334373
2015-10-09,1.1940611349512806
2015-10-14,1.2531458562547542
2015-10-19,1.2737568101602974
2015-10-22,1.3007800563803342
2015-10-27,1.3026121457764128
2015-10-30,1.2994059991347329
2015-11-04,1.2838332844170492
2015-11-09,1.4386444185743303
2015-11-12,1.3923842855837998
2015-11-17,1.3923842848210743
2015-11-20,1.443056729767685
2015-11-25,1.431104046434201
2015-12-01,1.5055784559023917
2015-12-04,1.551550312782736
2015-12-09,1.5037395784384335
2015-12-14,1.4973035165375372
2015-12-17,1.5019007046232111
2015-12-22,1.5138533860379935
2015-12-28,1.52350747765262
2015-12-31,1.5152325428094555
2016-01-06,1.4494927814137906
2016-01-11,1.3644448412312198
2016-01-14,1.3180132643862954
2016-01-20,1.2633067476174584
2016-01-25,1.3065202951757302
2016-01-28,1.2895107091757954
2016-02-02,1.2899704237372314
2016-02-05,1.21503629319481
2016-02-10,1.1690644335274185
2016-02-16,1.2407805336943492
2016-02-19,1.399383440902373
2016-02-24,1.462824603116672
2016-02-29,1.4469643132606393
2016-03-03,1.5064854862183767
2016-03-08,1.4649590890165365
2016-03-11,1.4866450990342834
2016-03-16,1.5272486870221074
2016-03-21,1.5646224440783523
2016-03-24,1.590922494495475
2016-03-30,1.6499822583195352
2016-04-04,1.6518278754116344
2016-04-07,1.6347559105028524
2016-04-12,1.6536734930335188
2016-04-15,1.713194663232843
2016-04-20,1.6818191668618017
2016-04-25,1.681819164131572
2016-04-28,1.6702840509307353
2016-05-03,1.6412155775825592
2016-05-06,1.6301418716731713
2016-05-11,1.6638243951002225
2016-05-16,1.946665286848588
2016-05-19,2.0094162812607412
2016-05-24,2.0982366290356027
2016-05-27,2.1232156370494506
2016-06-02,2.180574835028648
2016-06-07,2.143106327612114
2016-06-10,2.1370928606999344
2016-06-15,2.1907514605465717
2016-06-20,2.20000294550456
2016-06-23,2.2430223466186514
2016-06-28,2.123215626624484
2016-07-01,2.158371269736012
2016-07-07,2.261525308672784
2016-07-12,2.442391813675233
2016-07-15,2.437766072176865
2016-07-20,2.508077348495524
2016-07-25,2.5756131741220467
2016-07-28,2.5987418849486486
2016-08-02,2.5922658458902417
2016-08-05,2.692181870414045
2016-08-10,2.7065216687113156
2016-08-15,2.913292319462911
2016-08-18,2.8725857934021684
2016-08-23,2.9153739032605666
2016-08-26,2.8745929655682616
2016-08-31,2.842617003294223
2016-09-06,2.925105721543518
2016-09-09,2.758274605201867
2016-09-14,2.79905554431519
2016-09-19,2.9505938050387996
2016-09-22,3.0131554778164205
2016-09-27,3.083595278197086
2016-09-30,3.175352390616496
2016-10-05,3.1619132209258414
2016-10-10,3.1095467914285218
2016-10-13,3.0284483312801624
2016-10-18,3.0868392202942316
2016-10-21,3.129937256557517
2016-10-26,3.34403718264014
2016-10-31,3.2976952029855835
2016-11-03,3.1494008788266847
2016-11-08,3.2976952036032583
2016-11-11,4.076703791245482
2016-11-16,4.2463154175717825
2016-11-21,4.308877089605733
2016-11-25,4.370061614494003
2016-11-30,4.279096020061016
2016-12-05,4.264244498102426
2016-12-08,4.338502132092725
2016-12-13,4.231292691770855
2016-12-16,4.660130470224584
2016-12-21,4.911678178334902
2016-12-27,5.4449407337215465
2016-12-30,4.953912191982154
2017-01-05,4.7218571279674695
2017-01-10,4.9413812316853445
2017-01-13,4.80029175120254
2017-01-19,4.880582802226335
2017-01-24,4.981294711368747
2017-01-27,5.187359627958145
2017-02-01,5.2885356349428445
2017-02-06,5.444476644714824
2017-02-09,5.401314405238079
2017-02-14,5.0485907047892375
2017-02-17,4.976653637294815
2017-02-23,4.669738470009996
2017-02-28,4.715743449768845
2017-03-03,4.574010933479714
2017-03-08,4.580051990862726
2017-03-13,4.732937234083383
2017-03-16,4.82401780498151
2017-03-21,4.921604120170195
2017-03-24,4.994096820753098
2017-03-29,4.9880557726268915
2017-04-03,5.03638424056512
2017-04-06,4.682285290778988
2017-04-11,4.559605337206948
2017-04-17,4.611186680452541
2017-04-20,4.705520130073204
2017-04-25,4.867234620711306
2017-04-28,4.846787962935597
2017-05-03,4.844464484270346
2017-05-08,4.775689363241625
2017-05-11,5.8784148409292065
2017-05-16,6.357517227379523
2017-05-19,6.326382532771604
2017-05-24,6.445932554547303
2017-05-30,6.738992897321076
2017-06-02,6.6817763606656575
2017-06-07,6.936692339468103
2017-06-12,6.976232215306454
2017-06-15,7.087874248501358
2017-06-20,7.30743692073069
2017-06-23,7.168814740302613
2017-06-28,7.059033405703657
2017-07-03,6.481285877363326
2017-07-07,6.826911017171162
2017-07-12,7.5595618715375315
2017-07-17,7.640502350418411
2017-07-20,7.790753925257127
2017-07-25,7.691671628698483
2017-07-28,7.647014819368342
2017-08-02,7.647014821522431
2017-08-07,8.012642478255998
2017-08-10,7.663295935681663
2017-08-15,7.767495183745246
2017-08-18,7.512579195107574
2017-08-23,7.719248805279319
2017-08-28,7.680606006481702
2017-08-31,7.888718436616163
2017-09-06,7.719714384099824
2017-09-11,7.868233096887107
2017-09-14,7.886856139657342
2017-09-19,8.722564846450371
2017-09-22,8.333808986588467
2017-09-27,8.181565678247447
2017-10-02,8.333809000808438
2017-10-05,8.416215944617733
2017-10-10,8.793797985353903
2017-10-13,9.059641812111998
2017-10-18,9.198849001433532
2017-10-23,9.15415371677024
2017-10-26,9.110855163677158
2017-10-31,9.628575585141983
