,WMAMR
2015-06-19,0.9975
2015-06-24,0.9908431179291185
2015-06-29,0.9488702300206432
2015-07-02,0.9630183944841757
2015-07-08,0.926704772361123
2015-07-13,0.9375516984498459
2015-07-16,0.9474106110535235
2015-07-21,0.9100211621892267
2015-07-24,0.8891084196040829
2015-07-29,0.9192100945372298
2015-08-03,0.9158751458143554
2015-08-06,0.8943005793096047
2015-08-11,0.8815614761213422
2015-08-14,0.9007478083621893
2015-08-19,0.8933684498080049
2015-08-24,0.7990541712455204
2015-08-27,0.8597000170565294
2015-09-01,0.8241454120854811
2015-09-04,0.8282267291972527
2015-09-10,0.8394846549994223
2015-09-15,0.8504980624568328
2015-09-18,0.8462455721445487
2015-09-23,0.8423447375938199
2015-09-28,0.8240255882726583
2015-10-01,0.8367691155354708
2015-10-06,0.851241440213025
2015-10-09,0.8574359022251751
2015-10-14,0.8428292078508693
2015-10-19,0.8544533834786462
2015-10-22,0.8788679760388903
2015-10-27,0.8788679760388903
2015-10-30,0.8788679760388903
2015-11-04,0.8788679760388903
2015-11-09,0.8788679760388903
2015-11-12,0.8744736361586959
2015-11-17,0.8809512186487715
2015-11-20,0.9307935169171101
2015-11-25,0.9261395493325245
2015-12-01,0.9207253640487195
2015-12-04,0.9293162636978958
2015-12-09,0.9246696823794063
2015-12-14,0.9032204059468802
2015-12-17,0.9293059768880926
2015-12-22,0.9143831886741571
2015-12-28,0.9108869925783506
2015-12-31,0.8975843927990681
2016-01-06,0.8586998703673389
2016-01-11,0.8359946349171541
2016-01-14,0.809173281807237
2016-01-20,0.7292331335675022
2016-01-25,0.7123035424202135
2016-01-28,0.728332623400083
2016-02-02,0.7288735983617503
2016-02-05,0.7151815220818047
2016-02-10,0.7161137273283573
2016-02-16,0.7608197343639027
2016-02-19,0.7809680980833842
2016-02-24,0.8048684375337588
2016-02-29,0.820596227317071
2016-03-03,0.8941808335121367
2016-03-08,0.8941808335121367
2016-03-11,0.8941808335121367
2016-03-16,0.8941808335121367
2016-03-21,0.8941808335121367
2016-03-24,0.889709929344576
2016-03-30,0.8844550244710241
2016-04-04,0.8817280305620797
2016-04-07,0.853185494315015
2016-04-12,0.8684566602051693
2016-04-15,0.877183040713826
2016-04-20,0.9125930566215997
2016-04-25,0.8930027155763858
2016-04-28,0.8256626803942382
2016-05-03,0.8287100487179583
2016-05-06,0.8122265818888103
2016-05-11,0.8103869832887568
2016-05-16,0.8223881741557484
2016-05-19,0.8210654151623786
2016-05-24,0.8337914267262626
2016-05-27,0.8450394365612932
2016-06-02,0.8295407253350939
2016-06-07,0.8627615915921479
2016-06-10,0.8533073777441418
2016-06-15,0.8165704541920621
2016-06-20,0.8319260994863203
2016-06-23,0.8598714301692965
2016-06-28,0.8232492708443068
2016-07-01,0.8541750653498323
2016-07-07,0.847411906754897
2016-07-12,0.8769562311432992
2016-07-15,0.8641418253844741
2016-07-20,0.8679671628072937
2016-07-25,0.8679671628072937
2016-07-28,0.8679671628072937
2016-08-02,0.8636273269932572
2016-08-05,0.8892907124716853
2016-08-10,0.8954466235028317
2016-08-15,0.9012637993040002
2016-08-18,0.8969244915143646
2016-08-23,0.9067266557273534
2016-08-26,0.9040636699610002
2016-08-31,0.8854613227908177
2016-09-06,0.8931936260404612
2016-09-09,0.8552930237098587
2016-09-14,0.9223128163846154
2016-09-19,0.9163355184737225
2016-09-22,0.9105598762142556
2016-09-27,0.8980127913058029
2016-09-30,0.8818808249949148
2016-10-05,0.8960211905266836
2016-10-10,0.9091657556688718
2016-10-13,0.8867851419135128
2016-10-18,0.8945183977391284
2016-10-21,0.8838441962652039
2016-10-26,0.8780608629752785
2016-10-31,0.8768036166078979
2016-11-03,0.8593628303458817
2016-11-08,0.879741662621848
2016-11-11,0.8720673473985305
2016-11-16,0.8807709200144601
2016-11-21,0.9202284458589631
2016-11-25,0.9195186126708739
2016-11-30,0.8920109330901607
2016-12-05,0.897945075130351
2016-12-08,0.9274892697366159
2016-12-13,0.9270293398733548
2016-12-16,1.0158780403268697
2016-12-21,1.027912743690706
2016-12-27,1.0227731799722526
2016-12-30,1.0156331477997722
2017-01-05,1.0651762281802488
2017-01-10,1.044193276489694
2017-01-13,1.0689648166799324
2017-01-19,1.071739229181239
2017-01-24,1.0883855326234997
2017-01-27,1.09548286514149
2017-02-01,1.0751499665764481
2017-02-06,1.1088094410818876
2017-02-09,1.095991957900193
2017-02-14,1.1105186420573507
2017-02-17,1.1255128991776306
2017-02-23,1.0912659424786142
2017-02-28,1.1020167961262388
2017-03-03,1.0688954793329326
2017-03-08,1.0703072075896962
2017-03-13,1.1060347919339508
2017-03-16,1.121682713715408
2017-03-21,1.1159896001193714
2017-03-24,1.114396517371586
2017-03-29,1.1221358837936155
2017-04-03,1.1167517299557153
2017-04-06,1.114336696479497
2017-04-11,1.0845351833831207
2017-04-17,1.0968041810752842
2017-04-20,1.1192420777555612
2017-04-25,1.1577070434931755
2017-04-28,1.1470794387354348
2017-05-03,1.1708103903111187
2017-05-08,1.1708103903111187
2017-05-11,1.1700527808146466
2017-05-16,1.168311146882795
2017-05-19,1.1588545481776547
2017-05-24,1.1749392185338623
2017-05-30,1.1607848131224503
2017-06-02,1.1461852523069216
2017-06-07,1.1637996674863675
2017-06-12,1.2003474985409865
2017-06-15,1.1918396680737193
2017-06-20,1.1977868893711854
2017-06-23,1.2082735563668563
2017-06-28,1.2038459840709603
2017-07-03,1.1786884675348959
2017-07-07,1.2236338171465573
2017-07-12,1.2552238625779206
2017-07-17,1.2569701813239786
2017-07-20,1.2556357747374924
