,SFFRL
2015-06-19,0.9975
2015-06-24,0.9832244952573089
2015-06-29,0.9428907675226049
2015-07-02,0.9591359429248497
2015-07-08,0.9370761430655414
2015-07-13,0.9704257316455582
2015-07-16,0.9974751120954038
2015-07-21,0.9902679343184445
2015-07-24,1.0020406414811573
2015-07-29,1.0152727986268821
2015-08-03,1.018928638671995
2015-08-06,1.0163895518339532
2015-08-11,1.0772040233937237
2015-08-14,1.0801123785302977
2015-08-19,1.0638538083682294
2015-08-24,0.9420092866383568
2015-08-27,1.0212050360240637
2015-09-01,0.9697176833818384
2015-09-04,0.9728218469435005
2015-09-10,1.0097260312989362
2015-09-15,1.0218796207158105
2015-09-18,1.0333562802096334
2015-09-23,1.0393450942488573
2015-09-28,1.01842913024453
2015-10-01,1.0529170188655381
2015-10-06,1.0842630140216205
2015-10-09,1.1169244750896385
2015-10-14,1.1405010142298602
2015-10-19,1.18019326184252
2015-10-22,1.1798851642297659
2015-10-27,1.2130674834660222
2015-10-30,1.227835661620368
2015-11-04,1.2442615717558436
2015-11-09,1.2924963987287232
2015-11-12,1.2683649772974313
2015-11-17,1.2616989183065308
2015-11-20,1.3010301145474465
2015-11-25,1.2935509640959602
2015-12-01,1.3153416411972356
2015-12-04,1.3241939328129735
2015-12-09,1.2785397452193996
2015-12-14,1.2662074005071557
2015-12-17,1.2821630631967134
2015-12-22,1.2948570479026287
2015-12-28,1.304167087741819
2015-12-31,1.3013228688161866
2016-01-06,1.243128917601882
2016-01-11,1.188987912106434
2016-01-14,1.1530837003144534
2016-01-20,1.0949585977647598
2016-01-25,1.1259516574044515
2016-01-28,1.0894900093665734
2016-02-02,1.0723054001128878
2016-02-05,0.9953004122021828
2016-02-10,0.9766736571597102
2016-02-16,1.023194604221633
2016-02-19,1.0882749753349392
2016-02-24,1.1143164648565698
2016-02-29,1.1061060860898118
2016-03-03,1.1492748215950364
2016-03-08,1.126160981345389
2016-03-11,1.1554264592630197
2016-03-16,1.1788183629485172
2016-03-21,1.1977560602520163
2016-03-24,1.2115074570376552
2016-03-30,1.2439477474913556
2016-04-04,1.2419527210467725
2016-04-07,1.221432407131628
2016-04-12,1.223952153215441
2016-04-15,1.2621327540083396
2016-04-20,1.2660371599029707
2016-04-25,1.2525119847292352
2016-04-28,1.2328358865932485
2016-05-03,1.269248829459487
2016-05-06,1.2647716251563192
2016-05-11,1.2971138185740396
2016-05-16,1.4117549755156737
2016-05-19,1.421105020865825
2016-05-24,1.4643704219120288
2016-05-27,1.4754084642896232
2016-06-02,1.5110338548899862
2016-06-07,1.498323482757279
2016-06-10,1.4821524666035066
2016-06-15,1.4957898971877879
2016-06-20,1.5105288139921176
2016-06-23,1.5194038665266698
2016-06-28,1.4615153467233413
2016-07-01,1.4843594917252092
2016-07-07,1.506670772870355
2016-07-12,1.572962443851952
2016-07-15,1.5573805767731743
2016-07-20,1.5822441653331292
2016-07-25,1.5993023975017242
2016-07-28,1.618948022214621
2016-08-02,1.611078771535206
2016-08-05,1.6628106415180273
2016-08-10,1.6549286952051103
2016-08-15,1.6998115330772956
2016-08-18,1.683865130276149
2016-08-23,1.6965927165215646
2016-08-26,1.685816519423869
2016-08-31,1.6655879866824794
2016-09-06,1.6923540020240917
2016-09-09,1.6293848888633835
2016-09-14,1.6503171796647553
2016-09-19,1.7001353015763037
2016-09-22,1.7617577843597416
2016-09-27,1.7736189631957968
2016-09-30,1.815702623829585
2016-10-05,1.81091184889638
2016-10-10,1.7821045061680694
2016-10-13,1.7297942159458266
2016-10-18,1.738075453583991
2016-10-21,1.7430842288057047
2016-10-26,1.7894956520417011
2016-10-31,1.7780022352802953
2016-11-03,1.7101757534479987
2016-11-08,1.7711142781484044
2016-11-11,1.9684513604625438
2016-11-16,2.0158748141007297
2016-11-21,2.064113424457895
2016-11-25,2.067364409920557
2016-11-30,2.0335700299317754
2016-12-05,2.027015799386935
2016-12-08,2.055945476905896
2016-12-13,2.057890569551276
2016-12-16,2.148730655554055
2016-12-21,2.1952049021540643
2016-12-27,2.2748280754388697
2016-12-30,2.1468595313185816
2017-01-05,2.174038258919432
2017-01-10,2.2056810882258286
2017-01-13,2.2082712658271384
2017-01-19,2.2337915672831916
2017-01-24,2.27359914214881
2017-01-27,2.321794917603674
2017-02-01,2.3396592368438074
2017-02-06,2.3615410023966863
2017-02-09,2.377500866855915
2017-02-14,2.3357902832284863
2017-02-17,2.346206299994705
2017-02-23,2.290455341531845
2017-02-28,2.275354445144469
2017-03-03,2.2482239267717854
2017-03-08,2.2466234587159284
2017-03-13,2.297984932092464
2017-03-16,2.319807613706954
2017-03-21,2.30127270631164
2017-03-24,2.3348422723255435
2017-03-29,2.3891087694922346
2017-04-03,2.394516270746065
2017-04-06,2.3131140319544183
2017-04-11,2.2868501509610724
2017-04-17,2.3028437312469148
2017-04-20,2.3345887399263594
2017-04-25,2.373188190299747
2017-04-28,2.3882923679121717
2017-05-03,2.3947824071647905
2017-05-08,2.3908210346506307
2017-05-11,2.593657887289185
2017-05-16,2.7021053013919745
2017-05-19,2.648541395883537
2017-05-24,2.6937283122315003
2017-05-30,2.7719643391795414
2017-06-02,2.793233057030804
2017-06-07,2.8389938059405244
2017-06-12,2.7960316693607354
2017-06-15,2.799819465473044
2017-06-20,2.8781207435671776
2017-06-23,2.9451771099761013
2017-06-28,2.8965051137068434
2017-07-03,2.758679322876758
2017-07-07,2.845075624023062
2017-07-12,3.019224757561258
2017-07-17,3.0293900964262166
2017-07-20,3.06900614070721
2017-07-25,3.0655633526389257
2017-07-28,3.0305033215645807
2017-08-02,3.0218853390842493
2017-08-07,3.0731529549943555
2017-08-10,2.9585804884031583
2017-08-15,3.0309614403001115
2017-08-18,2.9898258080360742
2017-08-23,3.052053104042483
2017-08-28,3.0441995588693365
2017-08-31,3.1176339898112806
2017-09-06,3.048407940213117
2017-09-11,3.096977636522111
2017-09-14,3.0971987016321862
2017-09-19,3.175432806750767
2017-09-22,3.097401799299755
2017-09-27,3.106042750340179
2017-10-02,3.1452015759093364
2017-10-05,3.2082371038262436
2017-10-10,3.3038022176226893
2017-10-13,3.3806686691600385
2017-10-18,3.3905324445741845
2017-10-23,3.396380510458033
2017-10-26,3.3827303339998296
2017-10-31,3.629443008085273
