,SPY
2015-06-29,0.0
2015-07-02,0.008963455442051653
2015-07-08,-0.013548829334253266
2015-07-13,0.025249356026130747
2015-07-16,0.01189502924099782
2015-07-21,-0.002405491336987911
2015-07-24,-0.018203981368744272
2015-07-29,0.013517914999244792
2015-08-03,-0.004946502357238578
2015-08-06,-0.00660163131990009
2015-08-11,0.0014867751680925638
2015-08-14,0.003349125180924393
2015-08-19,-0.005171929924812484
2015-08-24,-0.09449430377042807
2015-08-27,0.049719497247130505
2015-09-01,-0.03781178448427023
2015-09-04,0.004266839646575195
2015-09-10,0.016785483175270767
2015-09-15,0.013188119120827057
2015-09-18,-0.01041723600992492
2015-09-23,-0.009049835516760989
2015-09-28,-0.029831050043919477
2015-10-01,0.022209101442405857
2015-10-06,0.029033635550618702
2015-10-09,0.017739491047220234
2015-10-14,-0.010184302496762042
2015-10-19,0.02026592976770762
2015-10-22,0.009006864939050523
2015-10-27,0.006605492958143662
2015-10-30,0.006562146588488153
2015-11-04,0.011713934711897541
2015-11-09,-0.010992798167507933
2015-11-12,-0.015693434544214818
2015-11-17,0.0030708512823110577
2015-11-20,0.018516368742148306
2015-11-25,4.7774883467595515e-05
2015-12-01,0.006476213111802019
2015-12-04,-0.0050440268751227625
2015-12-09,-0.020629225868624024
2015-12-14,-0.011953895039062063
2015-12-17,0.009613572174493447
2015-12-22,-0.0006219405978769208
2015-12-28,0.008367840172152337
2015-12-31,-0.006551309245734662
2016-01-06,-0.02508260781364867
2016-01-11,-0.034331798149087545
2016-01-14,-0.0009374440996292432
2016-01-20,-0.03326753743985223
2016-01-25,0.01066207982565378
2016-01-28,0.007803633495703988
2016-02-02,0.005536982462558717
2016-02-05,-0.011689890038965504
2016-02-10,-0.014361711900718476
2016-02-16,0.024051259128235348
2016-02-19,0.01162987074828012
2016-02-24,0.006230534225298008
2016-02-29,0.0018616253388939123
2016-03-03,0.03162922450991809
2016-03-08,-0.006931591492262172
2016-03-11,0.021737824333947633
2016-03-16,0.0028564462358394373
2016-03-21,0.011641890372228163
2016-03-24,-0.007602003440957369
2016-03-30,0.014176358091433357
2016-04-04,0.001115754342870519
2016-04-07,-0.011214174158498213
2016-04-12,0.009612883081305286
2016-04-15,0.008992088690867525
2016-04-20,0.01110381357998293
2016-04-25,-0.007117151557642096
2016-04-28,-0.005576152532110909
2016-05-03,-0.006237746572720353
2016-05-06,-0.0021365599789614272
2016-05-11,0.003784386636282076
2016-05-16,0.001355008919868821
2016-05-19,-0.012555530285021578
2016-05-24,0.017812969215160505
2016-05-27,0.011336898824742052
2016-06-02,0.003181762083739664
2016-06-07,0.0036441461345188635
2016-06-10,-0.007634825463148868
2016-06-15,-0.011105408095017597
2016-06-20,0.005689647161304575
2016-06-23,0.014140549821306319
2016-06-28,-0.0367665434461029
2016-07-01,0.032535795287646115
2016-07-07,-0.0018595737978110145
2016-07-12,0.025538506555419702
2016-07-15,0.004085641054218483
2016-07-20,0.00582092563534244
2016-07-25,-0.0020288751847020387
2016-07-28,0.0005537815709421736
2016-08-02,-0.0056439869509182315
2016-08-05,0.012127462975943411
2016-08-10,-0.002478061061985662
2016-08-15,0.006640269017042548
2016-08-18,-0.0010503254830320642
2016-08-23,0.0005024781392096775
2016-08-26,-0.0077019040385995175
2016-08-31,0.0004141624777789613
2016-09-06,0.007561705035220483
2016-09-09,-0.02660285042799419
2016-09-14,-0.0006097366819453285
2016-09-19,0.006277608197941754
2016-09-22,0.017511253690281486
2016-09-27,-0.007440755299888558
2016-09-30,0.0033806315706068828
2016-10-05,-0.003102347718295708
2016-10-10,0.002454893607234908
2016-10-13,-0.014679803225393579
2016-10-18,0.003280899066073712
2016-10-21,0.0012625454579324245
2016-10-26,-0.0011221875274981788
2016-10-31,-0.005583077569585913
2016-11-03,-0.017896207726258263
2016-11-08,0.025208845126962552
2016-11-11,0.010731048583902896
2016-11-16,0.006677576783293236
2016-11-21,0.010410573259497537
2016-11-25,0.006203791972664254
2016-11-30,-0.005159545168893262
2016-12-05,0.002809349767890779
2016-12-08,0.018604118582672288
2016-12-13,0.01152560091644162
2016-12-16,-0.006126350013136004
2016-12-21,0.003238666593586887
2016-12-27,0.002212194475469083
2016-12-30,-0.01218336538371725
2017-01-05,0.012757691065648568
2017-01-10,0.0002650399733331641
2017-01-13,0.0026019109601598503
2017-01-19,-0.00503356318341867
2017-01-24,0.007453021038080639
2017-01-27,0.006001266358225641
2017-02-01,-0.005913445085796418
2017-02-06,0.005738699508933019
2017-02-09,0.00726838446123545
2017-02-14,0.013353594849980574
2017-02-17,0.0059301738296942234
2017-02-23,0.005726081879903603
2017-02-28,0.00012686980340596382
2017-03-03,0.008212461684864678
2017-03-08,-0.007831948812599573
2017-03-13,0.005270160015845317
2017-03-16,0.0028134054883045528
2017-03-21,-0.01576972189120736
2017-03-24,0.0005560640933866486
2017-03-29,0.007158070705146513
2017-04-03,-0.0008919277771758391
2017-04-06,0.0004673195033494268
2017-04-11,-0.0016153202246164894
2017-04-17,-0.002086711549722419
2017-04-20,0.003277179392530041
2017-04-25,0.01354768450057923
2017-04-28,-0.0019721844930364564
2017-05-03,0.0016786725521952316
2017-05-08,0.004935836346640529
2017-05-11,-0.0011690006119251537
2017-05-16,0.002919941127404386
2017-05-19,-0.0073998707197115215
2017-05-24,0.009605030852525585
2017-05-30,0.003692103497596395
2017-06-02,0.010995222725287048
2017-06-07,-0.002090868474933717
2017-06-12,-0.0012319947192205116
2017-06-15,0.0016833415804755989
2017-06-20,0.0017415317815424798
2017-06-23,0.0004937260971164019
